srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,50:32:37:b8:c7:0f,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,0,0
50:32:37:b8:c7:0f,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,0,0
50:32:37:b8:c7:0f,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,684,2
50:32:37:b8:c7:0f,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,250,1
22:ef:03:1a:97:b9,50:32:37:b8:c7:0f,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,50:32:37:b8:c7:0f,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,50:32:37:b8:c7:0f,0x0800,*,*,*,1,*,*,1000,*,*,0,0
50:32:37:b8:c7:0f,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
50:32:37:b8:c7:0f,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
50:32:37:b8:c7:0f,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,50:32:37:b8:c7:0f,0x0800,*,*,*,17,123,*,1000,*,*,0,0
50:32:37:b8:c7:0f,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,50:32:37:b8:c7:0f,*,*,*,*,17,53,*,1000,*,*,0,0
50:32:37:b8:c7:0f,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,0,0
*,50:32:37:b8:c7:0f,0x0806,*,*,*,*,*,*,1000,*,*,102,2
50:32:37:b8:c7:0f,*,0x0806,*,*,*,*,*,*,1000,*,*,0,0
50:32:37:b8:c7:0f,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
50:32:37:b8:c7:0f,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,0,0
22:ef:03:1a:97:b9,50:32:37:b8:c7:0f,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,50:32:37:b8:c7:0f,0x0800,*,*,*,6,*,*,700,*,*,0,0
50:32:37:b8:c7:0f,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
50:32:37:b8:c7:0f,*,0x0800,*,*,*,17,123,*,610,*,*,1530,17
50:32:37:b8:c7:0f,*,0x0800,*,*,*,17,56914,*,610,*,*,426,1
*,50:32:37:b8:c7:0f,0x0800,*,*,*,17,*,56914,610,*,*,426,1
*,50:32:37:b8:c7:0f,0x0800,*,*,*,17,*,123,610,*,*,1530,17
*,50:32:37:b8:c7:0f,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,50:32:37:b8:c7:0f,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,50:32:37:b8:c7:0f,0x0800,*,*,*,17,*,*,600,*,*,66242,148
*,50:32:37:b8:c7:0f,0x0800,*,*,*,6,*,*,600,*,*,185,2
