srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,08:66:98:a2:21:9e,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,0,0
08:66:98:a2:21:9e,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,0,0
08:66:98:a2:21:9e,*,0x86dd,*,*,ff02:0:0:0:0:1:ff3d:4e59,58,*,*,1300,*,*,86,1
08:66:98:a2:21:9e,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,1020,17
08:66:98:a2:21:9e,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,544,8
08:66:98:a2:21:9e,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,3762,11
08:66:98:a2:21:9e,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,277752,909
08:66:98:a2:21:9e,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,260086,911
08:66:98:a2:21:9e,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,6980,62
8a:60:8a:92:83:f6,08:66:98:a2:21:9e,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,08:66:98:a2:21:9e,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,08:66:98:a2:21:9e,0x0800,*,*,*,1,*,*,1000,*,*,0,0
08:66:98:a2:21:9e,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
08:66:98:a2:21:9e,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
08:66:98:a2:21:9e,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,08:66:98:a2:21:9e,0x0800,*,*,*,17,123,*,1000,*,*,0,0
08:66:98:a2:21:9e,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,08:66:98:a2:21:9e,*,*,*,*,17,53,*,1000,*,*,0,0
08:66:98:a2:21:9e,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,0,0
*,08:66:98:a2:21:9e,0x0806,*,*,*,*,*,*,1000,*,*,0,0
08:66:98:a2:21:9e,*,0x0806,*,*,*,*,*,*,1000,*,*,3960,66
08:66:98:a2:21:9e,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,0,0
08:66:98:a2:21:9e,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,0,0
8a:60:8a:92:83:f6,08:66:98:a2:21:9e,0x0800,*,*,*,17,*,*,700,*,*,0,0
8a:60:8a:92:83:f6,08:66:98:a2:21:9e,0x0800,*,*,*,6,*,*,700,*,*,0,0
08:66:98:a2:21:9e,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
08:66:98:a2:21:9e,*,0x0800,*,*,*,17,68,*,610,*,*,684,2
08:66:98:a2:21:9e,*,0x0800,*,*,*,17,123,*,610,*,*,2340,26
*,08:66:98:a2:21:9e,0x0800,*,*,*,17,*,123,610,*,*,2340,26
*,08:66:98:a2:21:9e,0x0800,*,*,*,17,*,68,610,*,*,684,2
*,08:66:98:a2:21:9e,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,08:66:98:a2:21:9e,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,08:66:98:a2:21:9e,0x0800,*,*,*,17,*,*,600,*,*,24365,127
*,08:66:98:a2:21:9e,0x0800,*,*,*,6,*,*,600,*,*,304,3
