srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,34542,101
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,0,0
f4:b8:5e:68:8f:35,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,490428,1434
f4:b8:5e:68:8f:35,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,16020,401
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,124,2
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,12408,141
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,*,*,1,*,*,1000,*,*,372,6
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,0x0800,*,*,*,17,123,*,1000,*,*,0,0
f4:b8:5e:68:8f:35,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,f4:b8:5e:68:8f:35,*,*,*,*,17,53,*,1000,*,*,48142,142
