srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,30780,90
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,0,0
f4:b8:5e:31:73:db,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,174762,511
f4:b8:5e:31:73:db,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,4340,217
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,0,0,434,7
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,18568,211
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,*,*,1,*,*,1000,*,*,1550,25
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,62,1
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,*,*,17,123,*,1000,*,*,0,0
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,*,*,*,*,17,53,*,1000,*,*,32528,214
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,88,1
*,f4:b8:5e:31:73:db,0x0806,*,*,*,*,*,*,1000,*,*,25062,595
f4:b8:5e:31:73:db,*,0x0806,*,*,*,*,*,*,1000,*,*,13962,332
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,VS-cam.u002.immedia-semi.com,6,*,443,855,*,*,324813,473
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,35.169.248.142,6,*,443,855,*,*,3591157,2908
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,VS-cam.u002.immedia-semi.com,6,*,443,855,*,*,561181,677
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,IS-cam.u002.immedia-semi.com,6,*,443,855,*,*,1871,15
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,107.23.68.99,6,*,443,855,*,*,4633092,3690
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,IS-cam.u002.immedia-semi.com,6,*,443,855,*,*,1940,15
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,52.20.163.187,6,*,443,855,*,*,4965538,4046
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,54.160.195.27,6,*,443,855,*,*,6205363,5320
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,52.201.206.170,6,*,443,855,*,*,4827695,5157
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,52.4.90.229,6,*,443,855,*,*,5345457,5427
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,VS-cam.u002.immedia-semi.com,6,*,443,855,*,*,685665,762
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,VS-cam.u002.immedia-semi.com,6,*,443,855,*,*,554618,638
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,IS-cam.u002.immedia-semi.com,6,*,443,855,*,*,1871,15
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,IS-cam.u002.immedia-semi.com,6,*,443,855,*,*,1825,14
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
f4:b8:5e:31:73:db,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,806,13
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,VS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,50579,355
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,35.169.248.142,*,6,443,*,750,*,*,186529,2848
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,VS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,67678,542
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,IS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,4071,19
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,107.23.68.99,*,6,443,*,750,*,*,238411,3610
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,IS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,4179,21
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,52.20.163.187,*,6,443,*,750,*,*,262594,3954
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,54.160.195.27,*,6,443,*,750,*,*,348089,5258
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,52.201.206.170,*,6,443,*,750,*,*,331837,5029
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,52.4.90.229,*,6,443,*,750,*,*,349245,5273
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,VS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,70734,577
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,VS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,65463,526
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,IS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,3333,13
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,IS-cam.u002.immedia-semi.com,*,6,443,*,750,*,*,3894,17
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,f4:b8:5e:31:73:db,0x0800,*,*,*,6,*,*,700,*,*,60,1
f4:b8:5e:31:73:db,*,0x888e,*,*,*,*,*,*,650,*,*,54604,440
f4:b8:5e:31:73:db,*,0x0800,*,*,*,17,48899,*,610,*,*,2832,48
*,f4:b8:5e:31:73:db,0x0800,*,*,*,17,*,48899,610,*,*,2832,48
*,f4:b8:5e:31:73:db,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,f4:b8:5e:31:73:db,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,f4:b8:5e:31:73:db,0x0800,*,*,*,17,*,*,600,*,*,59,1
