srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,20237,59
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,16416,48
00:03:7f:96:d8:ec,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,11970,35
00:03:7f:96:d8:ec,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,460,11
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,2.openwrt.pool.ntp.org,17,*,123,1001,*,*,90,1
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,3.openwrt.pool.ntp.org,17,*,123,1001,*,*,270,3
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,109.74.192.97,17,*,123,1001,*,*,360,4
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,139.162.219.252,17,*,123,1001,*,*,360,4
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,0.openwrt.pool.ntp.org|1.openwrt.pool.ntp.org,17,*,123,1001,*,*,180,2
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,46.227.200.72,17,*,123,1001,*,*,270,3
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,1.openwrt.pool.ntp.org,17,*,123,1001,*,*,450,5
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,0,0
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,1,*,*,1001,3,3,1320,7
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,693,8
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,3458,41
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x0800,*,*,*,1,*,*,1000,*,*,62,1
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,227,2
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x0800,*,*,*,17,123,*,1000,*,*,11610,129
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,3600,40
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,*,*,*,*,17,53,*,1000,*,*,15376,51
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,164,2
*,00:03:7f:96:d8:ec,0x0806,*,*,*,*,*,*,1000,*,*,17100,285
00:03:7f:96:d8:ec,*,0x0806,*,*,*,*,*,*,1000,*,*,11982,284
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,cs-prde.immedia-semi.com,6,*,443,855,*,*,149314,1321
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,cs-prde.immedia-semi.com,6,*,443,855,*,*,185439,1641
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,rest-hw-prde.immedia-semi.com,6,*,443,855,*,*,3098,23
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,rest-hw-prde.immedia-semi.com,6,*,443,855,*,*,6297,47
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,0,0
00:03:7f:96:d8:ec,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,296,4
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x0800,*,cs-prde.immedia-semi.com,*,6,443,*,750,*,*,129176,1321
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x0800,*,cs-prde.immedia-semi.com,*,6,443,*,750,*,*,160594,1630
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x0800,*,rest-hw-prde.immedia-semi.com,*,6,443,*,750,*,*,7664,20
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x0800,*,rest-hw-prde.immedia-semi.com,*,6,443,*,750,*,*,15643,42
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x0800,*,*,*,17,*,*,700,*,*,0,0
8a:60:8a:92:83:f6,00:03:7f:96:d8:ec,0x0800,*,*,*,6,*,*,700,*,*,0,0
00:03:7f:96:d8:ec,*,0x888e,*,*,*,*,*,*,650,*,*,3387,29
*,00:03:7f:96:d8:ec,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,00:03:7f:96:d8:ec,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,00:03:7f:96:d8:ec,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,00:03:7f:96:d8:ec,0x0800,*,*,*,6,*,*,600,*,*,0,0
