srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,rest-hw-prde.immedia-semi.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,2.openwrt.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cs-prde.immedia-semi.com,6,*,443,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.8,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,1.openwrt.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,3.openwrt.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,0.openwrt.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,1300,*,*
<gatewayMac>,<deviceMac>,0x0800,2.openwrt.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,0.openwrt.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,1.openwrt.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,3.openwrt.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.8,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,cs-prde.immedia-semi.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.7,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,rest-hw-prde.immedia-semi.com,*,6,443,*,750,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
