srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,15224,44
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,11628,34
00:03:7f:4f:c6:b5,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,3078,9
00:03:7f:4f:c6:b5,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,80,4
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,192.138.210.214,17,*,123,1001,*,*,270,3
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,72.5.72.15,17,*,123,1001,*,*,360,4
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,173.0.156.209,17,*,123,1001,*,*,270,3
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,2.openwrt.pool.ntp.org,17,*,123,1001,*,*,180,2
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,72.14.183.39,17,*,123,1001,*,*,0,0
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,155.94.238.29,17,*,123,1001,*,*,0,0
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,64.79.100.196,17,*,123,1001,*,*,180,2
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,0.openwrt.pool.ntp.org,17,*,123,1001,*,*,0,0
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,0.openwrt.pool.ntp.org|1.openwrt.pool.ntp.org,1,*,*,1001,3,3,0,0
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,3.openwrt.pool.ntp.org,17,*,123,1001,*,*,270,3
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,2.openwrt.pool.ntp.org,1,*,*,1001,3,3,0,0
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,1.openwrt.pool.ntp.org,17,*,123,1001,*,*,360,4
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,1,*,*,1001,3,3,1092,6
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,859,10
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,3194,38
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,*,*,1,*,*,1000,*,*,62,1
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,553,4
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,*,*,17,123,*,1000,*,*,6480,72
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,2970,33
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,*,*,*,*,17,53,*,1000,*,*,7719,50
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,178,2
*,00:03:7f:4f:c6:b5,0x0806,*,*,*,*,*,*,1000,*,*,9744,232
00:03:7f:4f:c6:b5,*,0x0806,*,*,*,*,*,*,1000,*,*,9618,229
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,rest-hw-u002.immedia-semi.com,6,*,443,855,*,*,1521,11
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,cs-u002.immedia-semi.com,6,*,443,855,*,*,3683,26
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,cs-u002.immedia-semi.com,6,*,443,855,*,*,293475,2598
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,rest-hw-u002.immedia-semi.com,6,*,443,855,*,*,4757,36
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,rest-hw-u002.immedia-semi.com,6,*,443,855,*,*,3106,23
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
00:03:7f:4f:c6:b5,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,370,5
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,rest-hw-u002.immedia-semi.com,*,6,443,*,750,*,*,3959,11
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,cs-u002.immedia-semi.com,*,6,443,*,750,*,*,3865,26
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,cs-u002.immedia-semi.com,*,6,443,*,750,*,*,255290,2603
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,rest-hw-u002.immedia-semi.com,*,6,443,*,750,*,*,11755,33
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,rest-hw-u002.immedia-semi.com,*,6,443,*,750,*,*,7857,22
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,00:03:7f:4f:c6:b5,0x0800,*,*,*,6,*,*,700,*,*,0,0
00:03:7f:4f:c6:b5,*,0x888e,*,*,*,*,*,*,650,*,*,3048,26
00:03:7f:4f:c6:b5,*,0x0800,*,*,*,17,48899,*,610,*,*,4366,74
*,00:03:7f:4f:c6:b5,0x0800,*,*,*,17,*,48899,610,*,*,4366,74
*,00:03:7f:4f:c6:b5,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,00:03:7f:4f:c6:b5,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,00:03:7f:4f:c6:b5,0x0800,*,*,*,17,*,*,600,*,*,59,1
*,00:03:7f:4f:c6:b5,0x0800,*,*,*,6,*,*,600,*,*,0,0
