srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,1032,3
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
64:90:c1:2f:23:0b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1050,3
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,baidu.com,1,*,*,1001,8,0,294,3
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,192.168.137.1,17,*,53,1001,*,*,513,7
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,*,*,1,*,*,1000,*,*,392,4
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,*,1,*,*,1000,*,*,98,1
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,*,*,*,*,17,53,*,1000,*,*,962,8
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,*,*,*,*,17,*,53,1000,*,*,79,1
*,64:90:c1:2f:23:0b,0x0806,*,*,*,*,*,*,1000,*,*,42,1
64:90:c1:2f:23:0b,*,0x0806,*,*,*,*,*,*,1000,*,*,42,1
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,120.92.96.155,6,*,443,855,*,*,9893,88
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,110.43.0.83,6,*,80,855,*,*,500,6
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,110.43.68.89,17,*,10001,810,*,*,11746,129
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,42.157.163.94,17,*,10001,810,*,*,12094,131
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,192.168.1.49,17,*,54639,810,*,*,3452465,4981
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,*,17,*,*,800,*,*,650,8
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,*,6,*,*,800,*,*,148,2
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,120.92.96.155,*,6,443,*,750,*,*,7541,66
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,110.43.0.83,*,6,80,*,750,*,*,1046,5
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,192.168.1.49,*,17,54639,*,710,*,*,139086,1377
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,42.157.163.94,*,17,10001,*,710,*,*,12094,131
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,110.43.68.89,*,17,10001,*,710,*,*,11746,129
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,*,*,17,*,*,700,*,*,0,0
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,*,*,6,*,*,700,*,*,0,0
64:90:c1:2f:23:0b,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
64:90:c1:2f:23:0b,*,0x0800,*,*,*,17,53338,*,610,*,*,0,0
64:90:c1:2f:23:0b,*,0x0800,*,*,*,17,59845,*,610,*,*,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,17,*,59845,610,*,*,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,17,*,53338,610,*,*,0,0
*,64:90:c1:2f:23:0b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,6,*,*,600,*,*,0,0
