srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,110.43.0.83,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,120.92.96.155,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,baidu.com,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,192.168.1.49,17,*,54639,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,110.43.68.89,17,*,10001,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.137.1,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,42.157.163.94,17,*,10001,810,*,*
<gatewayMac>,<deviceMac>,0x0800,120.92.96.155,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.137.1,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.137.1,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.1.49,*,17,54639,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,baidu.com,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,42.157.163.94,*,17,10001,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,110.43.68.89,*,17,10001,*,710,*,*
