srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,344,1
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
98:da:c4:47:93:fe,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,590,1
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,90,1
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,53,1001,*,*,796,10
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,1,*,*,1000,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,17,123,*,1000,*,*,180,2
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,90,1
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,*,*,*,*,17,53,*,1000,*,*,1428,10
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,72,1
*,98:da:c4:47:93:fe,0x0806,*,*,*,*,*,*,1000,*,*,336,8
98:da:c4:47:93:fe,*,0x0806,*,*,*,*,*,*,1000,*,*,462,11
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,4680,42
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,11251,104
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,4060,35
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,n-devs.tplinkcloud.com,6,*,443,855,*,*,80786,213
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,n-deventry.tplinkcloud.com,6,*,443,855,*,*,1301,9
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,0,0
98:da:c4:47:93:fe,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,290,5
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,22124,30
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,51624,70
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,euw1-api.tplinkra.com,*,6,443,*,750,*,*,18139,24
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,n-devs.tplinkcloud.com,*,6,443,*,750,*,*,33137,230
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,n-deventry.tplinkcloud.com,*,6,443,*,750,*,*,3264,8
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,17,*,*,700,*,*,0,0
f2:d5:bf:42:f9:d2,98:da:c4:47:93:fe,0x0800,*,*,*,6,*,*,700,*,*,85,1
98:da:c4:47:93:fe,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,98:da:c4:47:93:fe,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,98:da:c4:47:93:fe,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,98:da:c4:47:93:fe,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,98:da:c4:47:93:fe,0x0800,*,*,*,6,*,*,600,*,*,0,0
