srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,cc:f7:35:49:f4:05,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,20580,60
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,18900,54
cc:f7:35:49:f4:05,*,0x86dd,*,*,ff02:0:0:0:0:1:ff29:ad97,58,*,*,1300,*,*,258,3
cc:f7:35:49:f4:05,*,0x86dd,*,*,ff02:0:0:0:0:1:ff84:2210,58,*,*,1300,*,*,258,3
cc:f7:35:49:f4:05,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,30125,171
cc:f7:35:49:f4:05,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,26705,171
cc:f7:35:49:f4:05,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,630,11
cc:f7:35:49:f4:05,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,1190,17
cc:f7:35:49:f4:05,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,6058,17
cc:f7:35:49:f4:05,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,51030,403
cc:f7:35:49:f4:05,*,0x86dd,*,*,ff02:0:0:0:0:1:ff49:f405,58,*,*,1300,*,*,390,5
cc:f7:35:49:f4:05,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,220,5
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,2.android.pool.ntp.org,17,*,123,1001,*,*,0,0
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,1,*,*,1001,3,3,480,1
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,ntp-g7g.amazon.com,17,*,123,1001,*,*,90,1
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,2.android.pool.ntp.org,1,*,*,1001,3,3,0,0
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,162,2
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,162,2
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,1,*,*,1001,8,0,21952,224
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,1,*,*,1001,8,0,21952,224
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,8,0,21952,224
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,17796,216
8a:60:8a:92:83:f6,cc:f7:35:49:f4:05,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,cc:f7:35:49:f4:05,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,cc:f7:35:49:f4:05,0x0800,*,*,*,1,*,*,1000,*,*,66336,678
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,798,5
8a:60:8a:92:83:f6,cc:f7:35:49:f4:05,0x0800,*,*,*,17,123,*,1000,*,*,540,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,450,5
8a:60:8a:92:83:f6,cc:f7:35:49:f4:05,*,*,*,*,17,53,*,1000,*,*,81579,223
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,245,3
*,cc:f7:35:49:f4:05,0x0806,*,*,*,*,*,*,1000,*,*,34800,580
cc:f7:35:49:f4:05,*,0x0806,*,*,*,*,*,*,1000,*,*,24948,591
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,411,4
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,5
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,5
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,5
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,5
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,arcus-uswest.amazon.com,6,*,443,855,*,*,1879,17
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,5
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,api.amazon.com,6,*,443,855,*,*,2234,10
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,1082,12
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,585,7
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,api.eu.amazonalexa.com,6,*,443,855,*,*,3841,26
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,api.amazon.com,6,*,443,855,*,*,2234,10
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,5
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,1978,23
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,597,7
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,4696,50
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,api.amazonalexa.com,6,*,443,855,*,*,1802,11
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,7970,20
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,5056,59
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,5
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,16214,56
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,1684,15
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,api.eu.amazonalexa.com,6,*,443,855,*,*,1841,12
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,api.amazon.com,6,*,443,855,*,*,2234,10
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,13558,37
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,2242,27
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,4600,45
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,3898,45
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,5
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,13839,41
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,4212,50
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,unagi-na.amazon.com,6,*,443,855,*,*,85138,525
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,api.amazonalexa.com,6,*,443,855,*,*,1994,14
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,5620,64
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,unagi-na.amazon.com,6,*,443,855,*,*,103917,638
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,api.amazonalexa.com,6,*,443,855,*,*,4617,36
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,unagi-na.amazon.com,6,*,443,855,*,*,91152,573
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,18474,77
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,304682,259
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,prod.amazoncrl.com,6,*,80,855,*,*,570,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,prod.amcs-tachyon.com,6,*,443,855,*,*,3050,14
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,dp-gw-na.amazon.com,6,*,443,855,*,*,5115,23
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,4184,53
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,4823,20
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,378834,307
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,d3h5bk8iotgjvw.cloudfront.net,6,*,80,855,*,*,1236,13
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,prod.amazoncrl.com,6,*,80,855,*,*,570,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,prod.amcs-tachyon.com,6,*,443,855,*,*,2885,12
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,dcape-na.amazon.com,6,*,443,855,*,*,3360,13
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,avs-alexa-4-eu.amazon.com,6,*,443,855,*,*,2224919,5782
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,531,6
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,dp-gw-na.amazon.com,6,*,443,855,*,*,4351,18
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,fireoscaptiveportal.com,6,*,80,855,*,*,4490,47
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,192.168.10.146,6,*,49153,855,*,*,5550,75
cc:f7:35:49:f4:05,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,19368,80
