srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,3806,11
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,2736,8
18:74:2e:41:4d:35,*,0x86dd,*,*,ff02:0:0:0:0:1:ff38:e02d,58,*,*,1300,*,*,0,0
18:74:2e:41:4d:35,*,0x86dd,*,*,ff02:0:0:0:0:1:ffc0:9193,58,*,*,1300,*,*,0,0
18:74:2e:41:4d:35,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,26652,155
18:74:2e:41:4d:35,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,43957,253
18:74:2e:41:4d:35,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,560,8
18:74:2e:41:4d:35,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,594,11
18:74:2e:41:4d:35,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,684,2
18:74:2e:41:4d:35,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,3410,37
18:74:2e:41:4d:35,*,0x86dd,*,*,ff02:0:0:0:0:1:ff41:4d35,58,*,*,1300,*,*,156,2
18:74:2e:41:4d:35,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,ntp-g7g.amazon.com,17,*,123,1001,*,*,90,1
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,2.android.pool.ntp.org,17,*,123,1001,*,*,180,2
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,162,2
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,162,2
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,1,*,*,1001,8,0,5684,58
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,1,*,*,1001,8,0,6076,62
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,8,0,6272,64
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,7314,88
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,*,*,1,*,*,1000,*,*,6370,65
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,294,3
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,*,*,17,123,*,1000,*,*,3150,35
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,1080,12
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,*,*,*,*,17,53,*,1000,*,*,12383,95
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,244,3
*,18:74:2e:41:4d:35,0x0806,*,*,*,*,*,*,1000,*,*,2898,69
18:74:2e:41:4d:35,*,0x0806,*,*,*,*,*,*,1000,*,*,4158,99
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,410,4
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,410,4
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,480,6
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,410,4
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,9436,20
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,410,4
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,6557,19
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,410,4
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,1034,13
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,21478,57
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,20571,56
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,410,4
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,410,4
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,2142,27
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,16941,39
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,410,4
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,api.amazonalexa.com,6,*,443,855,*,*,8584,42
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,26159,59
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,1034,13
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,prod.amcs-tachyon.com,6,*,443,855,*,*,8542,63
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,arcus-uswest.amazon.com,6,*,443,855,*,*,8595,72
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,dp-gw-na.amazon.com,6,*,443,855,*,*,6503,29
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,pindorama.amazon.com,6,*,443,855,*,*,15969,51
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,kindle-time.amazon.com,6,*,80,855,*,*,399,4
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,754,7
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,api.amazon.com,6,*,443,855,*,*,2237,10
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,10131,22
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,d3h5bk8iotgjvw.cloudfront.net,6,*,80,855,*,*,1236,13
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,prod.amazoncrl.com,6,*,80,855,*,*,570,6
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,prod.amcs-tachyon.com,6,*,443,855,*,*,2771,12
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,dcape-na.amazon.com,6,*,443,855,*,*,7028,29
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,754,7
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,8161,19
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,300818,280
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,d3h5bk8iotgjvw.cloudfront.net,6,*,80,855,*,*,581,6
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,prod.amazoncrl.com,6,*,80,855,*,*,1214,13
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,wl.amazon-dss.com,6,*,443,855,*,*,1426,10
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,arcus-uswest.amazon.com,6,*,443,855,*,*,15055,126
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,1112,14
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,prod.amcs-tachyon.com,6,*,443,855,*,*,2771,12
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,dcape-na.amazon.com,6,*,443,855,*,*,3417,13
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,dp-gw-na.amazon.com,6,*,443,855,*,*,8760,33
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,pindorama.amazon.com,6,*,443,855,*,*,32332,106
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,754,7
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,kindle-time.amazon.com,6,*,80,855,*,*,938,10
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
18:74:2e:41:4d:35,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,32838,160
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,spectrum.s3.amazonaws.com,*,6,80,*,750,*,*,1047,4
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,spectrum.s3.amazonaws.com,*,6,80,*,750,*,*,1047,4
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,d3p8zr0ffa9t17.cloudfront.net,*,6,80,*,750,*,*,810,5
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,spectrum.s3.amazonaws.com,*,6,80,*,750,*,*,1047,4
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,device-metrics-us.amazon.com,*,6,443,*,750,*,*,5846,18
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,spectrum.s3.amazonaws.com,*,6,80,*,750,*,*,1047,4
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,device-metrics-us.amazon.com,*,6,443,*,750,*,*,5909,19
22:ef:03:1a:97:b9,18:74:2e:41:4d:35,0x0800,*,spectrum.s3.amazonaws.com,*,6,80,*,750,*,*,1047,4
