srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,dcape-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.22,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,2.android.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ntp-g7g.amazon.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,pindorama.amazon.com,6,*,443,855,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,17,*,5353,1300,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,58,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,arcus-uswest.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.amazonalexa.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d3h5bk8iotgjvw.cloudfront.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dp-gw-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.70,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,17,*,67,1400,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,0,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,kindle-time.amazon.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,device-metrics-us.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,prod.amcs-tachyon.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,17,*,5353,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,prod.amazoncrl.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,wl.amazon-dss.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.amazon.com,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.70,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,api.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,device-metrics-us.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,pindorama.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,d3h5bk8iotgjvw.cloudfront.net,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,dcape-na.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,spectrum.s3.amazonaws.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,ntp-g7g.amazon.com,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,api.amazonalexa.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,2.android.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,dp-gw-na.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,d3p8zr0ffa9t17.cloudfront.net,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,prod.amcs-tachyon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,kindle-time.amazon.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,arcus-uswest.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,wl.amazon-dss.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,prod.amazoncrl.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,1,*,*,1001,0,0
<deviceMac>,*,0x0800,*,*,17,55444,*,610,*,*
*,<deviceMac>,0x0800,*,*,6,*,55443,655,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
<deviceMac>,*,0x0800,*,*,6,55443,*,650,*,*
*,<deviceMac>,0x0800,*,*,17,*,55444,610,*,*
