srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,00:fc:8b:84:22:10,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,18865,55
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,17442,51
00:fc:8b:84:22:10,*,0x86dd,*,*,ff02:0:0:0:0:1:ff84:2210,58,*,*,1300,*,*,78,1
00:fc:8b:84:22:10,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,459959,1375
00:fc:8b:84:22:10,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,432459,1375
00:fc:8b:84:22:10,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,57230,559
00:fc:8b:84:22:10,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,11802,207
00:fc:8b:84:22:10,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,3762,11
00:fc:8b:84:22:10,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,910,13
00:fc:8b:84:22:10,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,300,7
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,2.android.pool.ntp.org,17,*,123,1001,*,*,0,0
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,ntp-g7g.amazon.com,17,*,123,1001,*,*,0,0
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,243,3
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,243,3
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,1,*,*,1001,8,0,22932,234
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,1,*,*,1001,8,0,22834,233
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,8,0,22442,229
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,26157,316
8a:60:8a:92:83:f6,00:fc:8b:84:22:10,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,00:fc:8b:84:22:10,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,00:fc:8b:84:22:10,0x0800,*,*,*,1,*,*,1000,*,*,68502,699
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,294,3
8a:60:8a:92:83:f6,00:fc:8b:84:22:10,0x0800,*,*,*,17,123,*,1000,*,*,5220,58
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,3960,44
8a:60:8a:92:83:f6,00:fc:8b:84:22:10,*,*,*,*,17,53,*,1000,*,*,112927,325
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,247,3
*,00:fc:8b:84:22:10,0x0806,*,*,*,*,*,*,1000,*,*,26460,441
00:fc:8b:84:22:10,*,0x0806,*,*,*,*,*,*,1000,*,*,19170,453
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,api.amazonalexa.com,6,*,443,855,*,*,1906,12
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,todo-ta-g7g.amazon.com,6,*,443,855,*,*,3476,11
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,d3h5bk8iotgjvw.cloudfront.net,6,*,80,855,*,*,449,4
00:fc:8b:84:22:10,8a:60:8a:92:83:f6,0x0800,*,*,device-messaging-na.amazon.com,6,*,443,855,*,*,3261,10
