srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,fc:a1:83:38:e0:2d,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,29756,86
fc:a1:83:38:e0:2d,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,28386,83
fc:a1:83:38:e0:2d,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,277864,1091
fc:a1:83:38:e0:2d,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,256044,1091
fc:a1:83:38:e0:2d,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,56900,548
fc:a1:83:38:e0:2d,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,9126,169
fc:a1:83:38:e0:2d,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,210,3
fc:a1:83:38:e0:2d,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,684,2
fc:a1:83:38:e0:2d,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
fc:a1:83:38:e0:2d,22:ef:03:1a:97:b9,0x0800,*,*,ntp-g7g.amazon.com,17,*,123,1001,*,*,0,0
fc:a1:83:38:e0:2d,22:ef:03:1a:97:b9,0x0800,*,*,2.android.pool.ntp.org,17,*,123,1001,*,*,180,2
fc:a1:83:38:e0:2d,22:ef:03:1a:97:b9,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,162,2
fc:a1:83:38:e0:2d,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,241,3
fc:a1:83:38:e0:2d,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,1,*,*,1001,8,0,40082,409
fc:a1:83:38:e0:2d,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,1,*,*,1001,8,0,39690,405
fc:a1:83:38:e0:2d,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,8,0,38612,394
