srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,5c:41:5a:29:ad:97,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,15435,45
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,15048,44
5c:41:5a:29:ad:97,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,210,3
5c:41:5a:29:ad:97,*,0x86dd,*,*,ff02:0:0:0:0:1:ff84:2210,58,*,*,1300,*,*,258,3
5c:41:5a:29:ad:97,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,28998,547
5c:41:5a:29:ad:97,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,351997,1123
5c:41:5a:29:ad:97,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,2340,41
5c:41:5a:29:ad:97,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,375050,1127
5c:41:5a:29:ad:97,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1710,5
5c:41:5a:29:ad:97,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,53250,517
5c:41:5a:29:ad:97,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,140,3
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,ntp-g7g.amazon.com,17,*,123,1001,*,*,0,0
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,18.202.231.49,1,*,*,1001,3,3,1260,5
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,52.49.14.5,1,*,*,1001,3,3,2071,8
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,2.android.pool.ntp.org,17,*,123,1001,*,*,90,1
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,81,1
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,81,1
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,1,*,*,1001,8,0,19502,199
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,1,*,*,1001,8,0,19502,199
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,8,0,19502,199
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,44623,547
8a:60:8a:92:83:f6,5c:41:5a:29:ad:97,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,5c:41:5a:29:ad:97,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,5c:41:5a:29:ad:97,0x0800,*,*,*,1,*,*,1000,*,*,58800,600
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,798,5
8a:60:8a:92:83:f6,5c:41:5a:29:ad:97,0x0800,*,*,*,17,123,*,1000,*,*,4320,48
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,3060,34
8a:60:8a:92:83:f6,5c:41:5a:29:ad:97,*,*,*,*,17,53,*,1000,*,*,183730,552
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,244,3
*,5c:41:5a:29:ad:97,0x0806,*,*,*,*,*,*,1000,*,*,21600,360
5c:41:5a:29:ad:97,*,0x0806,*,*,*,*,*,*,1000,*,*,16770,392
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,arcus-uswest.amazon.com,6,*,443,855,*,*,2167,16
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,det-ta-g7g.amazon.com,6,*,443,855,*,*,20395,84
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,s3-eu-west-1.amazonaws.com,6,*,443,855,*,*,1390,13
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,s3.amazonaws.com,6,*,443,855,*,*,1392,13
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,m.media-amazon.com,6,*,443,855,*,*,3537,36
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,411,5
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,api.amazonalexa.com,6,*,443,855,*,*,1896,14
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,357,4
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,116401,97
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,423,5
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,2038,28
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,api.amazon.com,6,*,443,855,*,*,2155,11
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,s3-eu-west-1.amazonaws.com,6,*,443,855,*,*,1444,14
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,s3.amazonaws.com,6,*,443,855,*,*,1488,15
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,247542,245
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,mobileanalytics.us-east-1.amazonaws.com,6,*,443,855,*,*,5406,12
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,cognito-identity.us-east-1.amazonaws.com,6,*,443,855,*,*,1417,8
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,andr.eu.api.amazonvideo.com|andr-785f3ec7eb-cbc62794911ff31b-6275da66d5254dff56-2400322.eu.api.amazonvideo.com,6,*,443,855,*,*,4405,29
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,andr-785f3ec7eb-cbc62794911ff31b-6275da66d5254dff56-2400322.na.api.amazonvideo.com,6,*,443,855,*,*,4531,11
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,andr-785f3ec7eb-cbc62794911ff31b-6275da66d5254dff56-2400322.ec.api.amazonvideo.com,6,*,443,855,*,*,3959,20
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,api.eu.amazonalexa.com,6,*,443,855,*,*,28442,142
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,api.amazonalexa.com,6,*,443,855,*,*,7767,58
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,2842,34
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,2434,25
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,2302,32
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,963,15
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,1972,24
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,916,11
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,423,5
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,23731,52
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,11020,18
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,1180,15
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,api.eu.amazonalexa.com,6,*,443,855,*,*,8877,44
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,543,7
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,454,4
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,s3-eu-west-1.amazonaws.com,6,*,443,855,*,*,1794,15
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,drive.amazonaws.com,6,*,443,855,*,*,1590,13
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,2500,32
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,89877,105
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,1708,20
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,lv1-app-prde.immedia-semi.com,6,*,443,855,*,*,6975,91
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,135423,108
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,850,10
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,423,5
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,m.media-amazon.com,6,*,443,855,*,*,7287,73
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,api.amazon.com,6,*,443,855,*,*,2101,10
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,920,11
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,982,9
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,s3-eu-west-1.amazonaws.com,6,*,443,855,*,*,1498,15
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,drive.amazonaws.com,6,*,443,855,*,*,3004,24
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,s3.amazonaws.com,6,*,443,855,*,*,1500,15
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,164287,194
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,477,6
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*,1510,20
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,avs-alexa-5-eu.amazon.com,6,*,443,855,*,*,7180375,13759
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,device-metrics-us.amazon.com,6,*,443,855,*,*,7471,21
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,18.202.231.49,6,*,24618,855,*,*,222,3
5c:41:5a:29:ad:97,8a:60:8a:92:83:f6,0x0800,*,*,pub.dub.prod.shfss.smarthome-cameras.alexa.a2z.com,6,*,443,855,*,*,6188,18
