srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,00:71:47:c0:91:93,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,14878,43
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,13680,40
00:71:47:c0:91:93,*,0x86dd,*,*,ff02:0:0:0:0:1:ff38:e02d,58,*,*,1300,*,*,86,1
00:71:47:c0:91:93,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,13064,284
00:71:47:c0:91:93,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,149359,599
00:71:47:c0:91:93,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,137642,600
00:71:47:c0:91:93,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,26610,257
00:71:47:c0:91:93,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,270,5
00:71:47:c0:91:93,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,280,4
00:71:47:c0:91:93,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,684,2
00:71:47:c0:91:93,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,ntp-g7g.amazon.com,17,*,123,1001,*,*,0,0
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,2.android.pool.ntp.org,17,*,123,1001,*,*,0,0
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,162,2
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,238,3
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,1,*,*,1001,8,0,18424,188
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,1,*,*,1001,8,0,18620,190
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,8,0,18032,184
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,31122,381
22:ef:03:1a:97:b9,00:71:47:c0:91:93,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,00:71:47:c0:91:93,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,00:71:47:c0:91:93,0x0800,*,*,*,1,*,*,1000,*,*,18130,185
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,294,3
22:ef:03:1a:97:b9,00:71:47:c0:91:93,0x0800,*,*,*,17,123,*,1000,*,*,4320,48
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,2970,33
22:ef:03:1a:97:b9,00:71:47:c0:91:93,*,*,*,*,17,53,*,1000,*,*,50732,389
00:71:47:c0:91:93,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,247,3
*,00:71:47:c0:91:93,0x0806,*,*,*,*,*,*,1000,*,*,13776,328
00:71:47:c0:91:93,*,0x0806,*,*,*,*,*,*,1000,*,*,14070,335
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,405,4
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,537,6
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,537,6
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,537,6
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,537,6
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,537,6
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,537,6
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,537,6
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,andr-785f3ec7eb-cbc62794911ff31b-6275da66d5254dff56-2400322.na.api.amazonvideo.com,6,*,443,855,*,*,7636,31
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,537,6
00:71:47:c0:91:93,22:ef:03:1a:97:b9,0x0800,*,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*,1131,15
