srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,cc:f7:35:25:af:4d,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,1029,3
cc:f7:35:25:af:4d,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,0,0
cc:f7:35:25:af:4d,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,54331,143
cc:f7:35:25:af:4d,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,19840,167
cc:f7:35:25:af:4d,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,1544,29
cc:f7:35:25:af:4d,*,0x0800,*,*,224.0.0.2,2,*,*,1300,*,*,166,3
cc:f7:35:25:af:4d,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,1756,33
cc:f7:35:25:af:4d,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,270,3
cc:f7:35:25:af:4d,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,770,11
cc:f7:35:25:af:4d,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,2736,8
cc:f7:35:25:af:4d,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,220,5
cc:f7:35:25:af:4d,8a:60:8a:92:83:f6,0x0800,*,*,google.com,1,*,*,1001,8,0,0,0
cc:f7:35:25:af:4d,8a:60:8a:92:83:f6,0x0800,*,*,ftv-smp.ntp-fireos.com,17,*,123,1001,*,*,270,3
cc:f7:35:25:af:4d,8a:60:8a:92:83:f6,0x0800,*,*,2.android.pool.ntp.org,17,*,123,1001,*,*,90,1
cc:f7:35:25:af:4d,8a:60:8a:92:83:f6,0x0800,*,*,www.msftncsi.com,1,*,*,1001,8,0,98,1
cc:f7:35:25:af:4d,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,1,*,*,1001,8,0,2548,26
cc:f7:35:25:af:4d,8a:60:8a:92:83:f6,0x0800,*,*,64.22.125.197,1,*,*,1001,8,0,196,2
