srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,frank-comp-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ad.doubleclick.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dcape-na.amazon.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,unagi-eu.amazon.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,2.android.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,prime.amazon.eu,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,d63r8xi1zu867.cloudfront.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ktpx.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ftvr-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,device-messaging-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,avs.eu.amazonalexa.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ecx.images-amazon.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d3h5bk8iotgjvw.cloudfront.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dp-discovery-na-ext.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,mas-ext-eu.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,m.media-amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,google.com,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,msh.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,device-metrics-us.amazon.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,17,*,5353,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,db6vy7amvxmdo.cloudfront.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cz15y20kg2.execute-api.us-east-1.amazonaws.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,prod.amazoncrl.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.amazon.co.uk,6,*,443,855,*,*
