srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,6c:56:97:35:39:f4,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,3460,10
6c:56:97:35:39:f4,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,0,0
6c:56:97:35:39:f4,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,1564,34
6c:56:97:35:39:f4,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,1564,34
6c:56:97:35:39:f4,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,213456,586
6c:56:97:35:39:f4,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,45215,119
6c:56:97:35:39:f4,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,548,10
6c:56:97:35:39:f4,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,3060,34
6c:56:97:35:39:f4,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,350,5
6c:56:97:35:39:f4,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,3106,9
6c:56:97:35:39:f4,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
6c:56:97:35:39:f4,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,3,3,1496,4
6c:56:97:35:39:f4,22:ef:03:1a:97:b9,0x0800,*,*,ftv-smp.ntp-fireos.com,17,*,123,1001,*,*,0,0
6c:56:97:35:39:f4,22:ef:03:1a:97:b9,0x0800,*,*,2.android.pool.ntp.org,17,*,123,1001,*,*,90,1
6c:56:97:35:39:f4,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,0,0,0,0
6c:56:97:35:39:f4,22:ef:03:1a:97:b9,0x0800,*,*,208.67.222.222,17,*,53,1001,*,*,4390,54
6c:56:97:35:39:f4,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,1,*,*,1001,3,3,0,0
6c:56:97:35:39:f4,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,0,0
6c:56:97:35:39:f4,22:ef:03:1a:97:b9,0x0800,*,*,8.8.8.8,1,*,*,1001,8,0,1372,14
