srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,frank-comp-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dcape-na.amazon.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api-global.netflix.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.22,2,*,*,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,2.android.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,todo-ta-g7g.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d63r8xi1zu867.cloudfront.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ktpx.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ftvr-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,device-messaging-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,andr-785f3ec7eb-cbc62794911ff31b-c55635c491a5a663fa-2460152.na.api.amazonvideo.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,andr-785f3ec7eb-cbc62794911ff31b-c55635c491a5a663fa-2440084.na.api.amazonvideo.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,uiboot.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ecx.images-amazon.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.amazonalexa.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d3h5bk8iotgjvw.cloudfront.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,mas-ext.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dp-discovery-na-ext.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,nrdp50-appboot.netflix.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,m.media-amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,google.com,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,msh.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,device-metrics-us.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,customerevents.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,s.amazon-adsystem.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,17,*,5353,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,db6vy7amvxmdo.cloudfront.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cz15y20kg2.execute-api.us-east-1.amazonaws.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,prod.amazoncrl.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,aviary.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,avs.na.amazonalexa.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,gdk19d5hc3.execute-api.us-east-1.amazonaws.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,8.8.8.8,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,d3a510xmpll7o6.cloudfront.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,prime.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,nrdp51-appboot.netflix.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d21m0ezw6fosyw.cloudfront.net,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,aax-us-east.amazon-adsystem.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,arcus-uswest.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,n4h9utzk4f.execute-api.us-east-1.amazonaws.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ftv-smp.ntp-fireos.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,images-na.ssl-images-amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dp-gw-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,secure.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.70,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,andr-22-aftt-0.api.amazonvideo.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ichnaea.netflix.com,6,*,443,855,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,0,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ktpx-uk.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,music.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.msftncsi.com,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,api-global.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,na.account.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,unagi-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,dna.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,208.67.222.222,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,wl.amazon-dss.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.amazon.com,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,cz15y20kg2.execute-api.us-east-1.amazonaws.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,nrdp51-appboot.netflix.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,mas-ext.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api.amazonalexa.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,andr-785f3ec7eb-cbc62794911ff31b-c55635c491a5a663fa-2460152.na.api.amazonvideo.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,gdk19d5hc3.execute-api.us-east-1.amazonaws.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,arcus-uswest.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,prod.amazoncrl.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,device-messaging-na.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,www.msftncsi.com,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,ktpx.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,unagi-na.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,nrdp50-appboot.netflix.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,m.media-amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,customerevents.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,device-metrics-us.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,spectrum.s3.amazonaws.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,google.com,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,s.amazon-adsystem.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,msh.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api-global.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,8.8.8.8,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,ktpx-uk.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,n4h9utzk4f.execute-api.us-east-1.amazonaws.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,andr-22-aftt-0.api.amazonvideo.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,ichnaea.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,ftvr-na.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,d3h5bk8iotgjvw.cloudfront.net,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,2.android.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,music.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,dp-gw-na.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,secure.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,todo-ta-g7g.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,prime.amazon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,na.account.amazon.com,*,6,443,*,750,*,*
