srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,170.106.6.47,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,170.106.6.47,17,*,26677,810,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.eu.xiaoyi.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,47.88.59.209,17,*,32100,810,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,*,17,*,32108,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,10.159.48.140,17,*,28985,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.eu.xiaoyi.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,8.8.8.8,17,*,53,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,api.eu.xiaoyi.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,47.88.59.209,*,17,32100,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,170.106.6.47,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,10.159.48.140,*,17,28985,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.137.1,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,8.8.8.8,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,170.106.6.47,*,17,26677,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,api.eu.xiaoyi.com,*,6,443,*,750,*,*
