srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,4116,12
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,2786,7
20:df:b9:13:e5:2e,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,3664,69
20:df:b9:13:e5:2e,*,0x0800,*,*,239.255.3.22,2,*,*,1300,*,*,3770,71
20:df:b9:13:e5:2e,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,3664,69
20:df:b9:13:e5:2e,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,272246,1085
20:df:b9:13:e5:2e,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,992,15
20:df:b9:13:e5:2e,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,1190,17
20:df:b9:13:e5:2e,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,6874,17
20:df:b9:13:e5:2e,*,0x86dd,*,*,ff02:0:0:0:0:1:ff13:e52e,58,*,*,1300,*,*,234,3
20:df:b9:13:e5:2e,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,6710,63
20:df:b9:13:e5:2e,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,220,5
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,time.google.com,17,*,123,1001,*,*,0,0
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,8.8.8.8,1,*,*,1001,8,0,6664,68
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,8,0,6566,67
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,14783,187
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,*,*,1,*,*,1000,*,*,13488,138
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,196,2
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,*,*,17,123,*,1000,*,*,630,7
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,540,6
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,*,*,*,*,17,53,*,1000,*,*,22566,189
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,79,1
*,20:df:b9:13:e5:2e,0x0806,*,*,*,*,*,*,1000,*,*,4860,81
20:df:b9:13:e5:2e,*,0x0806,*,*,*,*,*,*,1000,*,*,4092,94
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,android.clients.google.com|clients4.google.com,6,*,443,855,*,*,2151,14
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,android.googleapis.com|play.googleapis.com,6,*,443,855,*,*,35589,136
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,www.google.com,6,*,443,855,*,*,1420809,1567
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,android.googleapis.com|play.googleapis.com,6,*,443,855,*,*,18656,70
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,android.googleapis.com|play.googleapis.com,6,*,443,855,*,*,13327,48
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,www.google.com,6,*,443,855,*,*,1166290,1298
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,www.google.com,6,*,443,855,*,*,875922,1029
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,android.googleapis.com|play.googleapis.com,6,*,443,855,*,*,24150,114
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,play.googleapis.com,6,*,443,855,*,*,8680,46
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,www.google.com,6,*,443,855,*,*,25937,90
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,android.googleapis.com|play.googleapis.com,6,*,443,855,*,*,18276,94
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,mtalk.google.com,6,*,5228,855,*,*,3613,31
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,connectivitycheck.gstatic.com,6,*,443,855,*,*,2101,17
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,android.googleapis.com|play.googleapis.com,6,*,443,855,*,*,43570,191
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,www.google.com,6,*,443,855,*,*,1183549,1358
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,connectivitycheck.gstatic.com|www.gstatic.com,6,*,80,855,*,*,3016,21
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,clients1.google.com|android.clients.google.com|clients4.google.com|clients3.google.com|tools.google.com,6,*,443,855,*,*,76567,445
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,mtalk.google.com,6,*,5228,855,*,*,7649,67
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,connectivitycheck.gstatic.com,6,*,443,855,*,*,4276,35
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,clients1.google.com|android.clients.google.com|clients4.google.com|clients3.google.com|tools.google.com,6,*,80,855,*,*,1632,20
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,android.clients.google.com,17,*,443,810,*,*,6155,35
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,173.194.76.138,17,*,443,810,*,*,907,4
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,android.clients.google.com,17,*,443,810,*,*,2498,9
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,connectivitycheck.gstatic.com,17,*,443,810,*,*,29045,77
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,clients4.google.com,17,*,443,810,*,*,14878,46
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,14618,13
20:df:b9:13:e5:2e,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,23072,223
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,android.clients.google.com|clients4.google.com,*,6,443,*,750,*,*,6424,14
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,android.googleapis.com|play.googleapis.com,*,6,443,*,750,*,*,27332,192
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,www.google.com,*,6,443,*,750,*,*,132119,1011
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,android.googleapis.com|play.googleapis.com,*,6,443,*,750,*,*,13257,98
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,android.googleapis.com|play.googleapis.com,*,6,443,*,750,*,*,9529,64
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,www.google.com,*,6,443,*,750,*,*,108853,807
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,www.google.com,*,6,443,*,750,*,*,108049,705
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,android.googleapis.com|play.googleapis.com,*,6,443,*,750,*,*,27835,138
8a:60:8a:92:83:f6,20:df:b9:13:e5:2e,0x0800,*,play.googleapis.com,*,6,443,*,750,*,*,10780,50
