srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,tools.google.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,2,*,*,1300,*,*
<deviceMac>,*,0x0800,*,224.0.0.22,2,*,*,1300,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients4.google.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,mtalk.google.com,6,*,5228,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients1.google.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,1,*,*,1001,8,0
<deviceMac>,*,0x86dd,*,ff00::/8,58,*,*,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,android.clients.google.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,connectivitycheck.gstatic.com,17,*,443,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,android.clients.google.com,17,*,443,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients4.google.com,17,*,443,810,*,*
<deviceMac>,*,0x0800,*,239.255.3.22,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,8.8.8.8,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,android.clients.google.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients4.google.com,6,*,443,855,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,0,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,play.googleapis.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients3.google.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,17,*,5353,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.gstatic.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,connectivitycheck.gstatic.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,android.googleapis.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.google.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,connectivitycheck.gstatic.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,tools.google.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients3.google.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.google.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,8.8.8.8,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,clients1.google.com,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,clients4.google.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,android.clients.google.com,*,17,443,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,clients3.google.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,clients3.google.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,connectivitycheck.gstatic.com,*,17,443,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,clients4.google.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,play.googleapis.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,clients1.google.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,8.8.8.8,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,www.google.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,android.clients.google.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,tools.google.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,tools.google.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,android.googleapis.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,clients4.google.com,*,17,443,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,clients1.google.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,time.google.com,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,mtalk.google.com,*,6,5228,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,connectivitycheck.gstatic.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,www.gstatic.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,8.8.8.8,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,android.clients.google.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,connectivitycheck.gstatic.com,*,6,80,*,750,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
