srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,20:df:b9:5f:41:7e,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,3460,10
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,2388,6
20:df:b9:5f:41:7e,*,0x0800,*,*,239.255.3.22,2,*,*,1300,*,*,1196,26
20:df:b9:5f:41:7e,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,1196,26
20:df:b9:5f:41:7e,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,1196,26
20:df:b9:5f:41:7e,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,66801,231
20:df:b9:5f:41:7e,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,372,6
20:df:b9:5f:41:7e,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,350,5
20:df:b9:5f:41:7e,*,0x86dd,*,*,ff02:0:0:0:0:1:ff5f:417e,58,*,*,1300,*,*,78,1
20:df:b9:5f:41:7e,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1218,3
20:df:b9:5f:41:7e,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,2880,32
20:df:b9:5f:41:7e,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,20,1
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,time.google.com,17,*,123,1001,*,*,0,0
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,0,0,0,0
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,8.8.8.8,1,*,*,1001,8,0,5978,61
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,8,0,5978,61
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,16905,217
22:ef:03:1a:97:b9,20:df:b9:5f:41:7e,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,20:df:b9:5f:41:7e,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,20:df:b9:5f:41:7e,0x0800,*,*,*,1,*,*,1000,*,*,12214,125
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,258,3
22:ef:03:1a:97:b9,20:df:b9:5f:41:7e,0x0800,*,*,*,17,123,*,1000,*,*,360,4
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,360,4
22:ef:03:1a:97:b9,20:df:b9:5f:41:7e,*,*,*,*,17,53,*,1000,*,*,25284,218
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,79,1
*,20:df:b9:5f:41:7e,0x0806,*,*,*,*,*,*,1000,*,*,2730,65
20:df:b9:5f:41:7e,*,0x0806,*,*,*,*,*,*,1000,*,*,2604,62
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,www.google.com,6,*,443,855,*,*,481778,561
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,android.googleapis.com|play.googleapis.com,6,*,443,855,*,*,5590,17
20:df:b9:5f:41:7e,22:ef:03:1a:97:b9,0x0800,*,*,www.google.com,6,*,443,855,*,*,482884,566
