srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,688,2
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
64:90:c1:2f:23:0b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,704,2
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,baidu.com,1,*,*,1001,8,0,294,3
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,192.168.137.1,17,*,53,1001,*,*,592,8
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,*,*,1,*,*,1000,*,*,392,4
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,*,1,*,*,1000,*,*,98,1
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,*,*,*,*,17,53,*,1000,*,*,1070,9
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,*,*,*,*,17,*,53,1000,*,*,76,1
*,64:90:c1:2f:23:0b,0x0806,*,*,*,*,*,*,1000,*,*,42,1
64:90:c1:2f:23:0b,*,0x0806,*,*,*,*,*,*,1000,*,*,42,1
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,sg.ots.io.mi.com,6,*,443,855,*,*,8720,70
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,103.106.208.201,17,*,10001,810,*,*,3219232,4643
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,*,17,*,*,800,*,*,486,6
64:90:c1:2f:23:0b,54:35:30:b1:07:b2,0x0800,*,*,*,6,*,*,800,*,*,74,1
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,sg.ots.io.mi.com,*,6,443,*,750,*,*,6091,47
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,103.106.208.201,*,17,10001,*,710,*,*,142674,1397
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,*,*,17,*,*,700,*,*,0,0
54:35:30:b1:07:b2,64:90:c1:2f:23:0b,0x0800,*,*,*,6,*,*,700,*,*,0,0
64:90:c1:2f:23:0b,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
64:90:c1:2f:23:0b,*,0x0800,*,*,*,17,36388,*,610,*,*,0,0
64:90:c1:2f:23:0b,*,0x0800,*,*,*,17,44956,*,610,*,*,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,17,*,44956,610,*,*,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,17,*,36388,610,*,*,0,0
*,64:90:c1:2f:23:0b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,64:90:c1:2f:23:0b,0x0800,*,*,*,6,*,*,600,*,*,0,0
