srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,0,0
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,0,0
00:0e:f3:2c:d4:04,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,30303,1300,*,*,206,2
00:0e:f3:2c:d4:04,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1710,5
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,158,2
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,0x0800,*,*,*,1,*,*,1000,*,*,124,2
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,0x0800,*,*,*,17,123,*,1000,*,*,0,0
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,*,*,*,*,17,53,*,1000,*,*,1269,3
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,79,1
*,00:0e:f3:2c:d4:04,0x0806,*,*,*,*,*,*,1000,*,*,540,9
00:0e:f3:2c:d4:04,*,0x0806,*,*,*,*,*,*,1000,*,*,180,3
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x0800,*,*,connect.insteon.com,6,*,80,855,*,*,463,6
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x0800,*,*,connect.insteon.com,6,*,80,855,*,*,986,13
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,0,0
00:0e:f3:2c:d4:04,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,120,2
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,0x0800,*,connect.insteon.com,*,6,80,*,750,*,*,748,6
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,0x0800,*,connect.insteon.com,*,6,80,*,750,*,*,1496,12
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,0x0800,*,*,*,17,*,*,700,*,*,0,0
8a:60:8a:92:83:f6,00:0e:f3:2c:d4:04,0x0800,*,*,*,6,*,*,700,*,*,0,0
00:0e:f3:2c:d4:04,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,00:0e:f3:2c:d4:04,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,00:0e:f3:2c:d4:04,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,00:0e:f3:2c:d4:04,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,00:0e:f3:2c:d4:04,0x0800,*,*,*,6,*,*,600,*,*,0,0
