srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,0,0
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,0,0
00:0e:f3:3b:85:e5,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,30303,1300,*,*,1648,16
00:0e:f3:3b:85:e5,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,26676,78
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,0,0
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,0,0,124,2
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,15589,193
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,21172,262
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,*,*,1,*,*,1000,*,*,310,5
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,62,1
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,*,*,17,123,*,1000,*,*,1980,22
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,1980,22
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,*,*,*,*,17,53,*,1000,*,*,99613,457
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,162,2
*,00:0e:f3:3b:85:e5,0x0806,*,*,*,*,*,*,1000,*,*,68220,1137
00:0e:f3:3b:85:e5,*,0x0806,*,*,*,*,*,*,1000,*,*,163200,2720
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,connect.insteon.com,6,*,443,855,*,*,5967,63
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,prod.insteon.pubnub.com,6,*,443,855,*,*,215989,832
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,prod.insteon.pubnub.com,6,*,443,855,*,*,252458,970
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,prod.insteon.pubnub.com,6,*,443,855,*,*,304917,1275
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,hubstatus.insteon.com,6,*,443,855,*,*,130990,1474
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,hubstatus.insteon.com,6,*,443,855,*,*,119668,1347
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,hubstatus.insteon.com,6,*,443,855,*,*,117040,1318
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,hubstatus.insteon.com,6,*,443,855,*,*,122267,1378
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,hubstatus.insteon.com,6,*,443,855,*,*,115922,1303
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,hubstatus.insteon.com,6,*,443,855,*,*,98064,1097
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
00:0e:f3:3b:85:e5,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,63568,898
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,connect.insteon.com,*,6,443,*,750,*,*,36935,81
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,prod.insteon.pubnub.com,*,6,443,*,750,*,*,147534,748
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,prod.insteon.pubnub.com,*,6,443,*,750,*,*,166913,890
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,prod.insteon.pubnub.com,*,6,443,*,750,*,*,239567,1232
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,hubstatus.insteon.com,*,6,443,*,750,*,*,522246,1850
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,hubstatus.insteon.com,*,6,443,*,750,*,*,478093,1702
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,hubstatus.insteon.com,*,6,443,*,750,*,*,470229,1666
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,hubstatus.insteon.com,*,6,443,*,750,*,*,491522,1736
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,hubstatus.insteon.com,*,6,443,*,750,*,*,462573,1643
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,hubstatus.insteon.com,*,6,443,*,750,*,*,389248,1392
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,00:0e:f3:3b:85:e5,0x0800,*,*,*,6,*,*,700,*,*,67367,1035
00:0e:f3:3b:85:e5,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
00:0e:f3:3b:85:e5,*,0x0800,*,*,*,17,30303,*,610,*,*,354,6
*,00:0e:f3:3b:85:e5,0x0800,*,*,*,17,*,30303,610,*,*,354,6
*,00:0e:f3:3b:85:e5,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,00:0e:f3:3b:85:e5,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,00:0e:f3:3b:85:e5,0x0800,*,*,*,17,*,*,600,*,*,58,1
*,00:0e:f3:3b:85:e5,0x0800,*,*,*,6,*,*,600,*,*,0,0
