srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,prod.insteon.pubnub.com,6,*,443,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,30303,1300,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,connect.insteon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.70,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,hubstatus.insteon.com,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,connect.insteon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,prod.insteon.pubnub.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,hubstatus.insteon.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.70,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,pool.ntp.org,*,17,123,*,1001,*,*
*,<deviceMac>,0x0800,*,*,17,*,30303,610,*,*
<deviceMac>,*,0x0800,*,*,17,30303,*,610,*,*
