srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,11999,35
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,10150,29
84:18:26:7c:1a:56,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,272,5
84:18:26:7c:1a:56,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,435559,1889
84:18:26:7c:1a:56,*,0x0800,*,*,224.0.0.1,2,*,*,1300,*,*,272,5
84:18:26:7c:1a:56,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,5950,17
84:18:26:7c:1a:56,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,220,5
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,180,2
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x0800,*,*,*,1,*,*,1000,*,*,186,3
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x0800,*,*,*,17,123,*,1000,*,*,0,0
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,*,*,*,*,17,53,*,1000,*,*,1134,3
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,90,1
*,84:18:26:7c:1a:56,0x0806,*,*,*,*,*,*,1000,*,*,8940,149
84:18:26:7c:1a:56,*,0x0806,*,*,*,*,*,*,1000,*,*,19398,212
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x0800,*,*,35.157.62.73,17,*,443,810,*,*,20362,150
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x0800,*,*,52.59.201.232,17,*,443,810,*,*,136912,671
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x0800,*,*,35.159.20.196,17,*,443,810,*,*,39340,227
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,610,6
84:18:26:7c:1a:56,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,0,0
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x0800,*,35.157.62.73,*,17,443,*,710,*,*,17360,152
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x0800,*,52.59.201.232,*,17,443,*,710,*,*,74960,672
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x0800,*,35.159.20.196,*,17,443,*,710,*,*,24337,228
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x0800,*,*,*,17,*,*,700,*,*,156,1
8a:60:8a:92:83:f6,84:18:26:7c:1a:56,0x0800,*,*,*,6,*,*,700,*,*,0,0
*,84:18:26:7c:1a:56,0x0800,*,*,*,6,*,80,655,*,*,148,2
84:18:26:7c:1a:56,*,0x0800,*,*,*,6,80,*,650,*,*,342,6
84:18:26:7c:1a:56,*,0x888e,*,*,*,*,*,*,650,*,*,2078,18
*,84:18:26:7c:1a:56,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,84:18:26:7c:1a:56,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,84:18:26:7c:1a:56,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,84:18:26:7c:1a:56,0x0800,*,*,*,6,*,*,600,*,*,74,1
