srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,84:18:26:7d:cf:a2,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,25580,74
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,23800,68
84:18:26:7d:cf:a2,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,447702,1879
84:18:26:7d:cf:a2,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,92,2
84:18:26:7d:cf:a2,*,0x0800,*,*,224.0.0.1,2,*,*,1300,*,*,92,2
84:18:26:7d:cf:a2,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1750,5
84:18:26:7d:cf:a2,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,270,3
22:ef:03:1a:97:b9,84:18:26:7d:cf:a2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,84:18:26:7d:cf:a2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,84:18:26:7d:cf:a2,0x0800,*,*,*,1,*,*,1000,*,*,186,3
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,84:18:26:7d:cf:a2,0x0800,*,*,*,17,123,*,1000,*,*,0,0
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,84:18:26:7d:cf:a2,*,*,*,*,17,53,*,1000,*,*,544,4
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,90,1
*,84:18:26:7d:cf:a2,0x0806,*,*,*,*,*,*,1000,*,*,15582,371
84:18:26:7d:cf:a2,*,0x0806,*,*,*,*,*,*,1000,*,*,39762,370
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,0x0800,*,*,54.186.227.191,17,*,443,810,*,*,167630,1144
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,612,7
84:18:26:7d:cf:a2,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,0,0
22:ef:03:1a:97:b9,84:18:26:7d:cf:a2,0x0800,*,54.186.227.191,*,17,443,*,710,*,*,130481,1148
22:ef:03:1a:97:b9,84:18:26:7d:cf:a2,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,84:18:26:7d:cf:a2,0x0800,*,*,*,6,*,*,700,*,*,0,0
*,84:18:26:7d:cf:a2,0x0800,*,*,*,6,*,7,655,*,*,66452,898
*,84:18:26:7d:cf:a2,0x0800,*,*,*,6,*,4000,655,*,*,289189,4835
84:18:26:7d:cf:a2,*,0x0800,*,*,*,6,7,*,650,*,*,48114,891
84:18:26:7d:cf:a2,*,0x0800,*,*,*,6,4000,*,650,*,*,268183,2997
84:18:26:7d:cf:a2,*,0x888e,*,*,*,*,*,*,650,*,*,3908,34
*,84:18:26:7d:cf:a2,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,84:18:26:7d:cf:a2,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,84:18:26:7d:cf:a2,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,84:18:26:7d:cf:a2,0x0800,*,*,*,6,*,*,600,*,*,148,2
