srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,dc:4f:22:89:fc:e7,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,17493,51
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,14700,42
dc:4f:22:89:fc:e7,*,0x0800,*,*,224.0.0.1,2,*,*,1300,*,*,272,5
dc:4f:22:89:fc:e7,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,10150,29
dc:4f:22:89:fc:e7,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,360,8
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,124,2
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,9963,123
8a:60:8a:92:83:f6,dc:4f:22:89:fc:e7,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,dc:4f:22:89:fc:e7,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,dc:4f:22:89:fc:e7,0x0800,*,*,*,1,*,*,1000,*,*,248,4
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,dc:4f:22:89:fc:e7,0x0800,*,*,*,17,123,*,1000,*,*,0,0
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,dc:4f:22:89:fc:e7,*,*,*,*,17,53,*,1000,*,*,63387,123
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,81,1
*,dc:4f:22:89:fc:e7,0x0806,*,*,*,*,*,*,1000,*,*,16080,268
dc:4f:22:89:fc:e7,*,0x0806,*,*,*,*,*,*,1000,*,*,12432,290
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x0800,*,*,ra8816us.magichue.net,6,*,8816,855,*,*,60397,890
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,0,0
dc:4f:22:89:fc:e7,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,58,1
8a:60:8a:92:83:f6,dc:4f:22:89:fc:e7,0x0800,*,ra8816us.magichue.net,*,6,8816,*,750,*,*,61187,948
8a:60:8a:92:83:f6,dc:4f:22:89:fc:e7,0x0800,*,*,*,17,*,*,700,*,*,0,0
8a:60:8a:92:83:f6,dc:4f:22:89:fc:e7,0x0800,*,*,*,6,*,*,700,*,*,0,0
dc:4f:22:89:fc:e7,*,0x888e,*,*,*,*,*,*,650,*,*,3682,32
*,dc:4f:22:89:fc:e7,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,dc:4f:22:89:fc:e7,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,dc:4f:22:89:fc:e7,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,dc:4f:22:89:fc:e7,0x0800,*,*,*,6,*,*,600,*,*,0,0
