srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,dc:4f:22:c1:58:05,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,19722,57
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,17150,49
dc:4f:22:c1:58:05,*,0x0800,*,*,224.0.0.1,2,*,*,1300,*,*,92,2
dc:4f:22:c1:58:05,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,2450,7
dc:4f:22:c1:58:05,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,60,3
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,10087,131
22:ef:03:1a:97:b9,dc:4f:22:c1:58:05,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:c1:58:05,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:c1:58:05,0x0800,*,*,*,1,*,*,1000,*,*,248,4
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:c1:58:05,0x0800,*,*,*,17,123,*,1000,*,*,0,0
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:c1:58:05,*,*,*,*,17,53,*,1000,*,*,12183,131
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,77,1
*,dc:4f:22:c1:58:05,0x0806,*,*,*,*,*,*,1000,*,*,13986,333
dc:4f:22:c1:58:05,*,0x0806,*,*,*,*,*,*,1000,*,*,14490,345
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,0x0800,*,*,wifi.magichue.net,6,*,8805,855,*,*,97946,1531
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
dc:4f:22:c1:58:05,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,58,1
22:ef:03:1a:97:b9,dc:4f:22:c1:58:05,0x0800,*,wifi.magichue.net,*,6,8805,*,750,*,*,108853,1906
22:ef:03:1a:97:b9,dc:4f:22:c1:58:05,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:c1:58:05,0x0800,*,*,*,6,*,*,700,*,*,0,0
*,dc:4f:22:c1:58:05,0x0800,*,*,*,6,*,5577,655,*,*,134482,2337
dc:4f:22:c1:58:05,*,0x0800,*,*,*,6,5577,*,650,*,*,83997,1472
dc:4f:22:c1:58:05,*,0x888e,*,*,*,*,*,*,650,*,*,3478,30
dc:4f:22:c1:58:05,*,0x0800,*,*,*,17,48899,*,610,*,*,9263,157
*,dc:4f:22:c1:58:05,0x0800,*,*,*,17,*,48899,610,*,*,9263,157
*,dc:4f:22:c1:58:05,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,dc:4f:22:c1:58:05,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,dc:4f:22:c1:58:05,0x0800,*,*,*,17,*,*,600,*,*,59,1
*,dc:4f:22:c1:58:05,0x0800,*,*,*,6,*,*,600,*,*,74,1
