srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
5c:e5:0c:0c:5e:e0,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,714,17
5c:e5:0c:0c:5e:e0,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,2100,6
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,1,*,*,1001,3,3,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,498,6
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,1,*,*,1000,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,70,1
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,17,123,*,1000,*,*,0,0
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,*,*,*,*,17,53,*,1000,*,*,2117,4
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,75,1
*,5c:e5:0c:0c:5e:e0,0x0806,*,*,*,*,*,*,1000,*,*,672,16
5c:e5:0c:0c:5e:e0,*,0x0806,*,*,*,*,*,*,1000,*,*,588,14
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,cdn.awsusor0.fds.api.mi-img.com,6,*,80,855,*,*,21643,396
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,us.ot.io.mi.com,17,*,8053,810,*,*,24900,226
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,us.ot.io.mi.com,17,*,8053,810,*,*,4750,27
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,148,2
5c:e5:0c:0c:5e:e0,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,58,1
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,cdn.awsusor0.fds.api.mi-img.com,*,6,80,*,750,*,*,675728,475
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,us.ot.io.mi.com,*,17,8053,*,710,*,*,2692,26
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,us.ot.io.mi.com,*,17,8053,*,710,*,*,24900,226
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,17,*,*,700,*,*,0,0
f2:d5:bf:42:f9:d2,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,6,*,*,700,*,*,0,0
5c:e5:0c:0c:5e:e0,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,5c:e5:0c:0c:5e:e0,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,5c:e5:0c:0c:5e:e0,0x0800,*,*,*,6,*,*,600,*,*,0,0
