srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,64:16:66:2a:98:62,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,3078,9
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,3540,6
64:16:66:2a:98:62,*,0x86dd,*,*,ff02:0:0:0:0:1:ff93:2262,58,*,*,1300,*,*,258,3
64:16:66:2a:98:62,*,0x86dd,*,*,ff02:0:0:0:0:1:ff2a:9862,58,*,*,1300,*,*,78,1
64:16:66:2a:98:62,*,0x86dd,*,*,ff02:0:0:0:0:1:ff36:aee2,58,*,*,1300,*,*,78,1
64:16:66:2a:98:62,*,0x86dd,*,*,ff02:0:0:0:0:0:0:1,58,*,*,1300,*,*,22542,221
64:16:66:2a:98:62,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,9050,85
64:16:66:2a:98:62,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,6490,11
64:16:66:2a:98:62,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,2614,41
64:16:66:2a:98:62,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,300,7
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,1,*,*,1001,3,3,0,0
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,1,*,*,1001,3,3,392,1
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,8,0,392,4
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,time.nest.com,17,*,123,1001,*,*,1530,17
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,15649,182
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,15649,182
8a:60:8a:92:83:f6,64:16:66:2a:98:62,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,64:16:66:2a:98:62,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,64:16:66:2a:98:62,0x0800,*,*,*,1,*,*,1000,*,*,0,0
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,882,3
8a:60:8a:92:83:f6,64:16:66:2a:98:62,0x0800,*,*,*,17,123,*,1000,*,*,1620,18
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,90,1
8a:60:8a:92:83:f6,64:16:66:2a:98:62,*,*,*,*,17,53,*,1000,*,*,121814,358
64:16:66:2a:98:62,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,73,1
*,64:16:66:2a:98:62,0x0806,*,*,*,*,*,*,1000,*,*,19680,328
64:16:66:2a:98:62,*,0x0806,*,*,*,*,*,*,1000,*,*,13194,312
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,czfe96-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*,790459,2937
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,52.72.42.156,6,*,9543,855,*,*,125149,439
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,czfe76-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*,362528,1342
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,czfe109-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*,610824,2306
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,23.21.37.86,6,*,9543,855,*,*,27939,96
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,34.235.144.232,6,*,9543,855,*,*,160140,553
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,czfe134-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*,664662,2335
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,czfe78-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*,79234,283
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,clients3.google.com,6,*,80,855,*,*,438,5
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,czfe129-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*,231979,819
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,czfe26-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*,379683,1306
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,czfe113-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*,321214,1139
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,weather.nest.com,6,*,443,855,*,*,1854,15
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,54.226.9.127,6,*,9543,855,*,*,437156,1591
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,weather.nest.com,6,*,443,855,*,*,5912,42
64:16:66:2a:98:62,8a:60:8a:92:83:f6,0x0800,*,*,weather.nest.com,6,*,443,855,*,*,1714,13
