srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,frontdoor.nest.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,17,*,53,1001,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,0,*,*,1300,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.8,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,logsink.devices.nest.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients3.google.com,6,*,80,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,1300,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,58,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,*,6,*,9543,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.nest.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,weather.nest.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,17,*,67,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,time.nest.com,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,logsink.devices.nest.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,frontdoor.nest.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,weather.nest.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,clients3.google.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.8,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,*,*,6,9543,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.7,*,17,53,*,1001,*,*
*,<deviceMac>,0x86dd,*,*,6,*,80,655,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
