srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,frontdoor.nest.com,6,*,443,855,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,0,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,logsink.devices.nest.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,clients3.google.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.70,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,czfe67-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,czfe12-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,czfe30-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,58,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.nest.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,weather.nest.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,czfe132-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,czfe65-front01-iad01.transport.home.nest.com,6,*,9543,855,*,*
<gatewayMac>,<deviceMac>,0x0800,time.nest.com,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,czfe12-front01-iad01.transport.home.nest.com,*,6,9543,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.70,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,frontdoor.nest.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,clients3.google.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,czfe30-front01-iad01.transport.home.nest.com,*,6,9543,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,czfe67-front01-iad01.transport.home.nest.com,*,6,9543,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,logsink.devices.nest.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,weather.nest.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,czfe65-front01-iad01.transport.home.nest.com,*,6,9543,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,czfe132-front01-iad01.transport.home.nest.com,*,6,9543,*,750,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
