srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,5472,16
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,11970,35
f0:45:da:36:e6:23,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,44802,131
f0:45:da:36:e6:23,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,1100,27
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,2.pool.ntp.org,17,*,123,1001,*,*,0,0
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,1774,24
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,0,0
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,*,*,1,*,*,1000,*,*,20136,57
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,*,*,17,123,*,1000,*,*,270,3
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,270,3
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,*,*,*,*,17,53,*,1000,*,*,11380,25
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,74,1
*,f0:45:da:36:e6:23,0x0806,*,*,*,*,*,*,1000,*,*,18120,302
f0:45:da:36:e6:23,*,0x0806,*,*,*,*,*,*,1000,*,*,14082,325
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,54.80.56.31,6,*,443,855,*,*,77008,136
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,fw.ring.com,6,*,443,855,*,*,8952,42
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,es.ring.com,6,*,443,855,*,*,39094,75
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,es.ring.com,6,*,443,855,*,*,156880,289
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,34.192.109.78,6,*,443,855,*,*,161501,374
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,52.54.251.183,6,*,443,855,*,*,43933,112
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,fw.ring.com,6,*,443,855,*,*,38545,184
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,52.0.153.171,6,*,9998,855,*,*,176583,439
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,107.23.91.111,6,*,443,855,*,*,39742,82
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,fw.ring.com,6,*,443,855,*,*,11898,70
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,fw.ring.com,6,*,80,855,*,*,5130,70
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,es.ring.com,6,*,443,855,*,*,38986,73
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,rss-dpd-service.ring.com,6,*,9998,855,*,*,3109,34
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,fw.ring.com,6,*,443,855,*,*,7866,42
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,es.ring.com,6,*,443,855,*,*,802,10
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,rss-dpd-service.ring.com,6,*,9998,855,*,*,2298,28
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,fw.ring.com,6,*,443,855,*,*,118110,592
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,es.ring.com,6,*,443,855,*,*,115223,198
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,rss-dpd-service.ring.com,6,*,9998,855,*,*,2136,25
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,fw.ring.com,6,*,443,855,*,*,7866,42
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,3.8.178.44,17,*,53456,810,*,*,3066184,14332
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,3.8.178.44,17,*,24036,810,*,*,23320116,20848
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,3.8.178.79,17,*,24236,810,*,*,4175914,19519
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,3.8.178.79,17,*,24368,810,*,*,18569886,18544
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,3.8.106.95,17,*,31790,810,*,*,3872396,18098
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,3.8.106.95,17,*,27842,810,*,*,29221694,26917
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,99501,241
f0:45:da:36:e6:23,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,11554,173
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,54.80.56.31,*,6,443,*,750,*,*,8480,75
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,fw.ring.com,*,6,443,*,750,*,*,6988,22
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,es.ring.com,*,6,443,*,750,*,*,6070,43
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,es.ring.com,*,6,443,*,750,*,*,22016,176
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,34.192.109.78,*,6,443,*,750,*,*,42044,216
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,52.54.251.183,*,6,443,*,750,*,*,10042,59
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,fw.ring.com,*,6,443,*,750,*,*,31796,111
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,52.0.153.171,*,6,9998,*,750,*,*,32810,440
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,107.23.91.111,*,6,443,*,750,*,*,9196,45
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,fw.ring.com,*,6,443,*,750,*,*,12738,52
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,fw.ring.com,*,6,80,*,750,*,*,18633,59
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,es.ring.com,*,6,443,*,750,*,*,6376,48
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,rss-dpd-service.ring.com,*,6,9998,*,750,*,*,7981,30
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,fw.ring.com,*,6,443,*,750,*,*,8280,24
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,es.ring.com,*,6,443,*,750,*,*,3426,7
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,rss-dpd-service.ring.com,*,6,9998,*,750,*,*,7716,26
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,fw.ring.com,*,6,443,*,750,*,*,94662,328
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,es.ring.com,*,6,443,*,750,*,*,11850,123
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,rss-dpd-service.ring.com,*,6,9998,*,750,*,*,7307,20
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,fw.ring.com,*,6,443,*,750,*,*,7087,24
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,3.8.106.95,*,17,27842,*,710,*,*,29221694,26917
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,3.8.178.79,*,17,24368,*,710,*,*,18569886,18544
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,3.8.178.44,*,17,24036,*,710,*,*,23320116,20848
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,3.8.178.44,*,17,53456,*,710,*,*,3091768,14602
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,3.8.178.79,*,17,24236,*,710,*,*,4202036,19846
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,3.8.106.95,*,17,31790,*,710,*,*,4056526,19159
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,*,*,17,*,*,700,*,*,0,0
8a:60:8a:92:83:f6,f0:45:da:36:e6:23,0x0800,*,*,*,6,*,*,700,*,*,30204,151
f0:45:da:36:e6:23,*,0x888e,*,*,*,*,*,*,650,*,*,7449,63
*,f0:45:da:36:e6:23,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,f0:45:da:36:e6:23,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,f0:45:da:36:e6:23,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,f0:45:da:36:e6:23,0x0800,*,*,*,6,*,*,600,*,*,0,0
