srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,3.8.106.95,17,*,27842,810,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,3.8.106.95,17,*,31790,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,3.8.178.44,17,*,53456,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,2.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,*,6,*,443,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,3.8.178.44,17,*,24036,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,52.0.153.171,6,*,9998,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,fw.ring.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,rss-dpd-service.ring.com,6,*,9998,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,3.8.178.79,17,*,24236,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,3.8.178.79,17,*,24368,810,*,*
<gatewayMac>,<deviceMac>,0x0800,fw.ring.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,2.pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,3.8.106.95,*,17,27842,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,3.8.106.95,*,17,31790,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,*,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.7,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,3.8.178.79,*,17,24368,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,3.8.178.44,*,17,53456,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,3.8.178.44,*,17,24036,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,3.8.178.79,*,17,24236,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,rss-dpd-service.ring.com,*,6,9998,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,52.0.153.171,*,6,9998,*,750,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
