srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,98:84:e3:e4:35:bd,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,5130,15
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,17634,27
98:84:e3:e4:35:bd,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,2736,8
98:84:e3:e4:35:bd,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,568,8
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,2840,40
22:ef:03:1a:97:b9,98:84:e3:e4:35:bd,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,98:84:e3:e4:35:bd,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,98:84:e3:e4:35:bd,0x0800,*,*,*,1,*,*,1000,*,*,86294,198
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,98:84:e3:e4:35:bd,0x0800,*,*,*,17,123,*,1000,*,*,0,0
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,98:84:e3:e4:35:bd,*,*,*,*,17,53,*,1000,*,*,7350,50
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,142,2
*,98:84:e3:e4:35:bd,0x0806,*,*,*,*,*,*,1000,*,*,7938,189
98:84:e3:e4:35:bd,*,0x0806,*,*,*,*,*,*,1000,*,*,7812,186
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,wu.ring.com,6,*,443,855,*,*,1146928,2694
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,wu.ring.com,6,*,443,855,*,*,623411,1668
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,34.227.40.15,6,*,80,855,*,*,5018,68
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,52.0.18.155,6,*,9998,855,*,*,9095,109
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,100.26.27.245,17,*,47342,810,*,*,287258,1343
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,100.26.27.245,17,*,16504,810,*,*,1868658,1631
98:84:e3:e4:35:bd,22:ef:03:1a:97:b9,0x0800,*,*,18.206.166.9,17,*,44672,810,*,*,6201852,28986
