srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,100.26.27.245,17,*,16504,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,18.206.166.9,17,*,44672,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,100.26.26.136,17,*,60346,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,100.26.27.85,17,*,41088,810,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,100.26.27.245,17,*,47342,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,18.206.166.9,17,*,43932,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,100.26.26.136,17,*,52116,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,wu.ring.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,34.227.40.15,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,52.0.18.155,6,*,9998,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,100.26.27.85,17,*,58086,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,8.8.8.8,17,*,53,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,100.26.26.136,*,17,60346,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,100.26.27.245,*,17,16504,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,100.26.27.85,*,17,41088,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,100.26.26.136,*,17,52116,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,wu.ring.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,52.0.18.155,*,6,9998,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,100.26.27.245,*,17,47342,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,18.206.166.9,*,17,44672,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,34.227.40.15,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,18.206.166.9,*,17,43932,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,8.8.8.8,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,100.26.27.85,*,17,58086,*,710,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
