srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,c8:3a:6b:fa:1c:00,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,3420,10
c8:3a:6b:fa:1c:00,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,0,0
c8:3a:6b:fa:1c:00,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,4406,83
c8:3a:6b:fa:1c:00,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,36284,131
c8:3a:6b:fa:1c:00,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,630,11
c8:3a:6b:fa:1c:00,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,17110,29
c8:3a:6b:fa:1c:00,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,220,5
c8:3a:6b:fa:1c:00,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,82,1
c8:3a:6b:fa:1c:00,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,37517,471
8a:60:8a:92:83:f6,c8:3a:6b:fa:1c:00,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,c8:3a:6b:fa:1c:00,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,c8:3a:6b:fa:1c:00,0x0800,*,*,*,1,*,*,1000,*,*,0,0
c8:3a:6b:fa:1c:00,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
c8:3a:6b:fa:1c:00,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
c8:3a:6b:fa:1c:00,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,0,0
