srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,88:de:a9:08:03:b9,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,3078,9
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,0,0
88:de:a9:08:03:b9,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,506,11
88:de:a9:08:03:b9,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,10853,41
88:de:a9:08:03:b9,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,216,4
88:de:a9:08:03:b9,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,4720,8
88:de:a9:08:03:b9,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,766,10
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,24706,315
22:ef:03:1a:97:b9,88:de:a9:08:03:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,88:de:a9:08:03:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,88:de:a9:08:03:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,88:de:a9:08:03:b9,0x0800,*,*,*,17,123,*,1000,*,*,0,0
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,88:de:a9:08:03:b9,*,*,*,*,17,53,*,1000,*,*,51983,327
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,160,2
*,88:de:a9:08:03:b9,0x0806,*,*,*,*,*,*,1000,*,*,8190,195
88:de:a9:08:03:b9,*,0x0806,*,*,*,*,*,*,1000,*,*,8694,207
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,ichnaea.netflix.com,6,*,443,855,*,*,8549,14
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,cooper.logs.roku.com,6,*,443,855,*,*,15392,19
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,api-global.netflix.com,6,*,443,855,*,*,4582,14
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,api-global.netflix.com,6,*,80,855,*,*,21680,31
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,ichnaea.netflix.com,6,*,443,855,*,*,19736,52
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,uiboot.netflix.com,6,*,443,855,*,*,5261,10
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,appboot.netflix.com,6,*,80,855,*,*,9518,18
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,34.237.108.192,6,*,443,855,*,*,32395,51
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,cooper.logs.roku.com,6,*,443,855,*,*,9131,17
88:de:a9:08:03:b9,22:ef:03:1a:97:b9,0x0800,*,*,securepubads.g.doubleclick.net|pubads.g.doubleclick.net,6,*,443,855,*,*,6599,32
