srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,cooper.sb.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,images.sr.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,nrdp.nccp.netflix.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api-global.netflix.com,6,*,80,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www-roku.mgo.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cdn-0.nflximg.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.rokutime.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,index.ehub.netflix.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,appboot.netflix.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,c-ls.mgo-images.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,c-catalog.mgo-images.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,uiboot.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,34.207.253.239,6,*,2350,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,securepubads.g.doubleclick.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,tpc.googlesyndication.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,assets.nflxext.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,img01.mgo-images.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,customer-feedbacks.web.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,amoeba.web.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,secure.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,34.237.108.192,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,occ-0-460-999.1.nflxso.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,c-catalog.mgo-images.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ichnaea.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ls.cti.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,img01.mgo-images.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,scribe.logs.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api2.sr.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.70,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,customerevents.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,c-ls.mgo-images.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,pubads.g.doubleclick.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,configsvc.cs.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.sr.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api-global.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,image.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cooper.logs.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,os.fandango.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,occ-0-460-1001.1.nflxso.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,lat-services.api.data.roku.com,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,ichnaea.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,img01.mgo-images.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,secure.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,occ-0-460-1001.1.nflxso.net,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,img01.mgo-images.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,34.237.108.192,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,34.207.253.239,*,6,2350,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,uiboot.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,pubads.g.doubleclick.net,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,c-catalog.mgo-images.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,images.sr.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,configsvc.cs.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,tpc.googlesyndication.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,nrdp.nccp.netflix.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,appboot.netflix.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,assets.nflxext.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,lat-services.api.data.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,api.sr.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,c-ls.mgo-images.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,customerevents.netflix.com,*,6,443,*,750,*,*
