srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,fc:03:9f:93:22:62,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,2394,7
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,590,1
fc:03:9f:93:22:62,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,210,3
fc:03:9f:93:22:62,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,180,3
fc:03:9f:93:22:62,*,0x86dd,*,*,ff02:0:0:0:0:1:ff93:2262,58,*,*,1300,*,*,156,2
fc:03:9f:93:22:62,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,5900,10
fc:03:9f:93:22:62,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,288,3
fc:03:9f:93:22:62,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,2870,27
fc:03:9f:93:22:62,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,15600,1300,*,*,3927,51
fc:03:9f:93:22:62,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,11666,47
fc:03:9f:93:22:62,*,0x0800,*,*,239.255.255.250,17,*,15600,1300,*,*,1925,25
fc:03:9f:93:22:62,*,0x0800,*,*,224.0.0.7,17,*,8001,1300,*,*,36356,149
fc:03:9f:93:22:62,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,9120,152
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,124,2
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,66477,791
8a:60:8a:92:83:f6,fc:03:9f:93:22:62,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,fc:03:9f:93:22:62,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,fc:03:9f:93:22:62,0x0800,*,*,*,1,*,*,1000,*,*,248,4
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,fc:03:9f:93:22:62,0x0800,*,*,*,17,123,*,1000,*,*,0,0
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,fc:03:9f:93:22:62,*,*,*,*,17,53,*,1000,*,*,267566,792
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,78,1
*,fc:03:9f:93:22:62,0x0806,*,*,*,*,*,*,1000,*,*,25002,416
fc:03:9f:93:22:62,*,0x0806,*,*,*,*,*,*,1000,*,*,1260,21
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x0800,*,*,lcprd1.samsungcloudsolution.net,6,*,443,855,*,*,5109,12
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x0800,*,*,lcprd1.samsungcloudsolution.net,6,*,443,855,*,*,8112,21
fc:03:9f:93:22:62,8a:60:8a:92:83:f6,0x0800,*,*,acr-eu-prd.internetat.tv,6,*,443,855,*,*,22276,45
