srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,d2jcsk9zvdkt48.cloudfront.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,prod-kami.wuaki.tv,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,prod-tvplus-pmd.verizon.cdn.rakuten.tv,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,oempprd.samsungcloudsolution.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,acr-eu-prd.internetat.tv,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,otn.samsungcloudcdn.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,images-3.wuaki.tv,6,*,443,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,noticecdn.samsungcloudsolution.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,stg-service.samsungcloud.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ichef.bbci.co.uk,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,go.microsoft.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.samsungcloudsolution.com,6,*,80,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,1300,*,*
<deviceMac>,*,0x0800,*,224.0.0.7,17,*,8001,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,hubimages.itv.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,assets.nflxext.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,osb-apps.samsungqbe.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.samsungcloudsolution.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,e-cdn-images.deezer.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,*,6,*,5223,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,acr0.samsungcloudsolution.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d2s336w63pl2vv.cloudfront.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,otnprd9.samsungcloudsolution.net,6,*,443,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,*,17,*,15600,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ocsp.comodoca.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,images-0.wuaki.tv,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,configprd.samsungcloudsolution.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ads.samsungads.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,occ-0-280-299.1.nflxso.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ic.c4assets.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,otnprd8.samsungcloudsolution.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d1oxlq5h9kq8q5.cloudfront.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.worldtimeserver.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cdn.samsungcloudsolution.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,gpm.samsungqbe.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.49.1,6,*,60000,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,secureclock2.playready.microsoft.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,musicid.samsungcloud.tv,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,notice.samsungcloudsolution.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,15600,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,osb.samsungqbe.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,i.ytimg.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,pl.scdn.co,6,*,443,855,*,*
