srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,84:c0:ef:2f:42:cc,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,4104,12
84:c0:ef:2f:42:cc,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,3540,6
84:c0:ef:2f:42:cc,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,20409,110
84:c0:ef:2f:42:cc,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,682,11
84:c0:ef:2f:42:cc,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,13570,23
84:c0:ef:2f:42:cc,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,20518,109
84:c0:ef:2f:42:cc,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,342204,1091
84:c0:ef:2f:42:cc,*,0x0800,*,*,224.0.1.187,2,*,*,1300,*,*,2340,39
84:c0:ef:2f:42:cc,*,0x0800,*,*,224.0.0.7,2,*,*,1300,*,*,2340,39
84:c0:ef:2f:42:cc,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,1080,18
84:c0:ef:2f:42:cc,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,480,8
84:c0:ef:2f:42:cc,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,26860,200
84:c0:ef:2f:42:cc,*,0x0800,*,*,239.255.255.250,17,*,15600,1300,*,*,86032,1076
84:c0:ef:2f:42:cc,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,215760,3596
84:c0:ef:2f:42:cc,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,15600,1300,*,*,93322,1181
