srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,www.mgo.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,play.google.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,otn.samsungcloudcdn.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,otn.samsungcloudcdn.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d38cmiae9b0e22.cloudfront.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.samsungcloudsolution.com,6,*,80,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,1300,*,*
<deviceMac>,*,0x0800,*,224.0.0.7,17,*,8001,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.facebook.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,osb-apps.samsungqbe.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ypu.samsungelectronics.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,8.8.8.8,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,e-cdn-images.deezer.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,*,6,*,5223,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,osb-ussvc.samsungqbe.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,upu.samsungelectronics.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,otnprd9.samsungcloudsolution.net,6,*,443,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,*,17,*,15600,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d37ju0xanoz6gh.cloudfront.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,svoice-vd-op.samsung-svoice.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,17,*,5353,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dpu.samsungelectronics.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,imp.control.kochava.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,apps.samsungcloudcdn.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,configprd.samsungcloudsolution.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,apicache.vudu.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ads.samsungads.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,otnprd8.samsungcloudsolution.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d1oxlq5h9kq8q5.cloudfront.net,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,224.0.1.187,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,events.samsungads.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,prderrordumphsm.samsungcloudsolution.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,tv-static.scdn.co,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,scontent.fyyc3-1.fna.fbcdn.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,musicid.samsungcloudsolution.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cdn.samsungcloudsolution.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,gpm.samsungqbe.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,acr-us-prd.internetat.tv,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,scontent-yyz1-1.xx.fbcdn.net,6,*,443,855,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,17,*,5353,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,vd.contents.prod.us.s3.amazonaws.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,scontent.fyvr2-1.fna.fbcdn.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,osb-krsvc.samsungqbe.com,6,*,443,855,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,58,*,*,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,tv.deezer.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,15600,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,osb.samsungqbe.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,scontent.fybz2-2.fna.fbcdn.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,sas.samsungcloudsolution.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,pl.scdn.co,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,lcprd1.samsungcloudsolution.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.youtube.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,zpu.samsungelectronics.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,17,*,67,1400,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,0,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,kpu.samsungelectronics.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cdns-content.dzcdn.net,6,*,443,855,*,*
