srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,b0:ce:18:20:43:bf,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,18522,54
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,26550,45
b0:ce:18:20:43:bf,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,5310,9
b0:ce:18:20:43:bf,*,0x86dd,*,*,ff02:0:0:0:0:0:0:1,0,*,*,1300,*,*,26910,299
b0:ce:18:20:43:bf,*,0x0800,*,*,224.0.0.1,2,*,*,1300,*,*,26220,437
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,0,0
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,10262,118
8a:60:8a:92:83:f6,b0:ce:18:20:43:bf,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,b0:ce:18:20:43:bf,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,b0:ce:18:20:43:bf,0x0800,*,*,*,1,*,*,1000,*,*,124,2
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,b0:ce:18:20:43:bf,0x0800,*,*,*,17,123,*,1000,*,*,0,0
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,b0:ce:18:20:43:bf,*,*,*,*,17,53,*,1000,*,*,26761,119
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,86,1
*,b0:ce:18:20:43:bf,0x0806,*,*,*,*,*,*,1000,*,*,24180,403
b0:ce:18:20:43:bf,*,0x0806,*,*,*,*,*,*,1000,*,*,39000,650
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,eu-life2.cloud.sengled.com|eu-element.cloud.sengled.com,6,*,443,855,*,*,5594,42
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,eu-life2.cloud.sengled.com|eu-element.cloud.sengled.com,6,*,443,855,*,*,6111,43
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,18.185.48.158,6,*,6884,855,*,*,170712,791
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,eu-life2.cloud.sengled.com,6,*,443,855,*,*,1643,13
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,elements.cloud.sengled.com,6,*,443,855,*,*,6140,68
b0:ce:18:20:43:bf,8a:60:8a:92:83:f6,0x0800,*,*,elements.cloud.sengled.com,6,*,443,855,*,*,3108,42
