srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,*,0x0800,*,224.0.0.1,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,17,*,53,1001,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,0,*,*,1300,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,elements.cloud.sengled.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,eu-life2.cloud.sengled.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,eu-element.cloud.sengled.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,18.185.48.158,6,*,6884,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,17,*,67,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,eu-life2.cloud.sengled.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,elements.cloud.sengled.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,eu-element.cloud.sengled.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,18.185.48.158,*,6,6884,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.7,*,17,53,*,1001,*,*
