srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,0,0
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,41890,71
b0:ce:18:27:9f:e4,*,0x86dd,*,*,ff02:0:0:0:0:0:0:1,0,*,*,1300,*,*,20610,229
b0:ce:18:27:9f:e4,*,0x0800,*,*,224.0.0.1,2,*,*,1300,*,*,11172,266
b0:ce:18:27:9f:e4,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,3540,6
b0:ce:18:27:9f:e4,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,267,3
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,*,*,1,*,*,1000,*,*,62,1
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,*,*,17,123,*,1000,*,*,0,0
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,*,*,*,*,17,53,*,1000,*,*,852,4
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,89,1
*,b0:ce:18:27:9f:e4,0x0806,*,*,*,*,*,*,1000,*,*,17430,415
b0:ce:18:27:9f:e4,*,0x0806,*,*,*,*,*,*,1000,*,*,23952,569
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,us-elements.cloud.sengled.com,6,*,443,855,*,*,2097,14
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,34.214.63.15,6,*,13000,855,*,*,155247,726
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,us-elements.cloud.sengled.com,6,*,443,855,*,*,3265,20
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,34.222.239.7,6,*,13000,855,*,*,6670,43
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,us-elements.cloud.sengled.com,6,*,443,855,*,*,4160,27
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
b0:ce:18:27:9f:e4,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,61453,540
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,us-elements.cloud.sengled.com,*,6,443,*,750,*,*,6488,11
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,34.214.63.15,*,6,13000,*,750,*,*,83026,700
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,us-elements.cloud.sengled.com,*,6,443,*,750,*,*,7798,16
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,34.222.239.7,*,6,13000,*,750,*,*,7632,40
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,us-elements.cloud.sengled.com,*,6,443,*,750,*,*,12844,20
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,b0:ce:18:27:9f:e4,0x0800,*,*,*,6,*,*,700,*,*,76357,536
b0:ce:18:27:9f:e4,*,0x888e,*,*,*,*,*,*,650,*,*,3908,34
*,b0:ce:18:27:9f:e4,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,b0:ce:18:27:9f:e4,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,b0:ce:18:27:9f:e4,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,b0:ce:18:27:9f:e4,0x0800,*,*,*,6,*,*,600,*,*,0,0
