srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,17784,52
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,27730,47
d0:52:a8:a4:e6:46,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,4720,8
d0:52:a8:a4:e6:46,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,171924,1059
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,2004,26
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,25945,322
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,*,*,1,*,*,1000,*,*,0,0
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,*,*,17,123,*,1000,*,*,0,0
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,*,*,*,*,17,53,*,1000,*,*,100908,349
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,158,2
*,d0:52:a8:a4:e6:46,0x0806,*,*,*,*,*,*,1000,*,*,24324,418
d0:52:a8:a4:e6:46,*,0x0806,*,*,*,*,*,*,1000,*,*,30060,501
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,fw-update2.smartthings.com,6,*,443,855,*,*,2061,12
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,fw-update2.smartthings.com,6,*,443,855,*,*,2127,13
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,938,11
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,1950,23
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,4986,59
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,4480,53
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,6504,77
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,1444,17
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,DC-eu01-eUwesT1.cONNeCT.smArTtHings.COM|dc-eu01-EUwESt1.connEcT.SmArTThINgs.CoM|Dc-Eu01-EUWesT1.coNnecT.sMaRTThinGs.cOm,6,*,443,855,*,*,311917,1468
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,DC.ConNEcT.smaRTthIngs.COM|dc.cOnnECt.SmartThINgS.coM|Dc.COnnEcT.SmarTThInGS.COM,6,*,443,855,*,*,3642,36
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,8366,98
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,11564,137
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,5998,71
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,4986,59
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,5998,71
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,5492,65
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,fw-update2.smartthings.com,6,*,443,855,*,*,19207,117
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,fw-update2.smartthings.com,6,*,443,855,*,*,29750,180
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,fw-update2.smartthings.com,6,*,443,855,*,*,16874,101
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,fw-update2.smartthings.com,6,*,443,855,*,*,1995,11
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,15522,193
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,17768,218
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,api.smartthings.com,6,*,80,855,*,*,17232,214
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,10.255.255.1,17,*,9,810,*,*,840,14
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,60,1
d0:52:a8:a4:e6:46,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,71381,457
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,fw-update2.smartthings.com,*,6,443,*,750,*,*,2698,11
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,fw-update2.smartthings.com,*,6,443,*,750,*,*,2698,11
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,884,8
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,1768,16
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,4420,40
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,3978,36
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,5746,52
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,1326,12
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,DC-eu01-eUwesT1.cONNeCT.smArTtHings.COM|dc-eu01-EUwESt1.connEcT.SmArTThINgs.CoM|Dc-Eu01-EUWesT1.coNnecT.sMaRTThinGs.cOm,*,6,443,*,750,*,*,131961,1266
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,DC.ConNEcT.smaRTthIngs.COM|dc.cOnnECt.SmartThINgS.coM|Dc.COnnEcT.SmarTThInGS.COM,*,6,443,*,750,*,*,6398,27
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,7832,71
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,10166,92
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,5304,48
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,4420,40
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,5304,48
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,4862,44
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,fw-update2.smartthings.com,*,6,443,*,750,*,*,24150,97
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,fw-update2.smartthings.com,*,6,443,*,750,*,*,37640,152
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,fw-update2.smartthings.com,*,6,443,*,750,*,*,21320,84
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,fw-update2.smartthings.com,*,6,443,*,750,*,*,2632,10
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,8840,80
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,11190,102
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,api.smartthings.com,*,6,80,*,750,*,*,9252,86
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,10.255.255.1,*,17,9,*,710,*,*,840,14
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,*,*,17,*,*,700,*,*,0,0
8a:60:8a:92:83:f6,d0:52:a8:a4:e6:46,0x0800,*,*,*,6,*,*,700,*,*,162276,434
*,d0:52:a8:a4:e6:46,0x0800,*,*,*,6,*,39500,655,*,*,425508,4005
d0:52:a8:a4:e6:46,*,0x0800,*,*,*,6,39500,*,650,*,*,289550,4297
d0:52:a8:a4:e6:46,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
d0:52:a8:a4:e6:46,*,0x0800,*,*,*,17,48899,*,610,*,*,655,11
d0:52:a8:a4:e6:46,*,0x0800,*,*,*,17,42720,*,610,*,*,451,1
d0:52:a8:a4:e6:46,*,0x0800,*,*,*,17,46501,*,610,*,*,451,1
d0:52:a8:a4:e6:46,*,0x0800,*,*,*,17,46475,*,610,*,*,451,1
d0:52:a8:a4:e6:46,*,0x0800,*,*,*,17,33234,*,610,*,*,451,1
*,d0:52:a8:a4:e6:46,0x0800,*,*,*,17,*,33234,610,*,*,451,1
*,d0:52:a8:a4:e6:46,0x0800,*,*,*,17,*,46475,610,*,*,451,1
*,d0:52:a8:a4:e6:46,0x0800,*,*,*,17,*,46501,610,*,*,451,1
*,d0:52:a8:a4:e6:46,0x0800,*,*,*,17,*,42720,610,*,*,451,1
