srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,24:fd:5b:04:1b:75,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,26676,78
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,43660,74
24:fd:5b:04:1b:75,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,1054,17
24:fd:5b:04:1b:75,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,6490,11
24:fd:5b:04:1b:75,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,3600,60
24:fd:5b:04:1b:75,*,0x0800,*,*,224.0.0.251,2,*,*,1300,*,*,10020,167
24:fd:5b:04:1b:75,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,797592,4913
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,1,*,*,1001,3,3,0,0
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,1108,14
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,41840,517
22:ef:03:1a:97:b9,24:fd:5b:04:1b:75,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,24:fd:5b:04:1b:75,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,24:fd:5b:04:1b:75,0x0800,*,*,*,1,*,*,1000,*,*,0,0
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,155,1
22:ef:03:1a:97:b9,24:fd:5b:04:1b:75,0x0800,*,*,*,17,123,*,1000,*,*,0,0
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,24:fd:5b:04:1b:75,*,*,*,*,17,53,*,1000,*,*,73906,533
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,162,2
*,24:fd:5b:04:1b:75,0x0806,*,*,*,*,*,*,1000,*,*,28236,473
24:fd:5b:04:1b:75,*,0x0806,*,*,*,*,*,*,1000,*,*,35940,599
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,Dc.cONnECt.smArTthINgS.com|DC.ConnECt.smARTThiNgs.COm|dC.cOnnect.smArTthIngS.com,6,*,443,855,*,*,1229,12
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,dC-NA04-UsEAST2.COnneCT.SMARtthIngs.CoM|dc-na04-uSEaST2.coNnect.smARttHINgs.com|DC-nA04-USEasT2.cOnnECt.smARtthINGS.cOM,6,*,443,855,*,*,549079,2943
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,dC-NA04-UsEAST2.COnneCT.SMARtthIngs.CoM|dc-na04-uSEaST2.coNnect.smARttHINgs.com|DC-nA04-USEasT2.cOnnECt.smARtthINGS.cOM,6,*,443,855,*,*,52083,219
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,Dc.cONnECt.smArTthINgS.com|DC.ConnECt.smARTThiNgs.COm|dC.cOnnect.smArTthIngS.com,6,*,443,855,*,*,2328,22
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,fw-update2.smartthings.com,6,*,443,855,*,*,21210,128
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,fw-update2.smartthings.com,6,*,443,855,*,*,25150,149
24:fd:5b:04:1b:75,22:ef:03:1a:97:b9,0x0800,*,*,fw-update2.smartthings.com,6,*,443,855,*,*,6133,35
