srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,Dc.cONnECt.smArTthINgS.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,17,*,67,1400,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,2,*,*,1300,*,*
<deviceMac>,*,0x0800,*,224.0.0.22,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,fw-update2.smartthings.com,6,*,443,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.smartthings.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.70,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,DC-nA04-USEasT2.cOnnECt.smARtthINGS.cOM,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,DC.ConnECt.smARTThiNgs.COm,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dC-NA04-UsEAST2.COnneCT.SMARtthIngs.CoM,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dC.cOnnect.smArTthIngS.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dc-na04-uSEaST2.coNnect.smARttHINgs.com,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,dC-NA04-UsEAST2.COnneCT.SMARtthIngs.CoM,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,Dc.cONnECt.smArTthINgS.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,DC-nA04-USEasT2.cOnnECt.smARtthINGS.cOM,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.70,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,dC.cOnnect.smArTthIngS.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,dc-na04-uSEaST2.coNnect.smARttHINgs.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,DC.ConnECt.smARTThiNgs.COm,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,fw-update2.smartthings.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api.smartthings.com,*,6,80,*,750,*,*
*,<deviceMac>,0x0800,*,*,6,*,39500,655,*,*
<deviceMac>,*,0x0800,*,*,6,39500,*,650,*,*
