srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,68:c6:3a:ba:c2:6b,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,10633,31
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,7700,22
68:c6:3a:ba:c2:6b,*,0x0800,*,*,224.0.0.1,2,*,*,1300,*,*,272,5
68:c6:3a:ba:c2:6b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,7000,20
68:c6:3a:ba:c2:6b,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,220,5
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,124,2
8a:60:8a:92:83:f6,68:c6:3a:ba:c2:6b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,68:c6:3a:ba:c2:6b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,68:c6:3a:ba:c2:6b,0x0800,*,*,*,1,*,*,1000,*,*,186,3
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,68:c6:3a:ba:c2:6b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,0,0
8a:60:8a:92:83:f6,68:c6:3a:ba:c2:6b,*,*,*,*,17,53,*,1000,*,*,0,0
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,0,0
*,68:c6:3a:ba:c2:6b,0x0806,*,*,*,*,*,*,1000,*,*,9600,160
68:c6:3a:ba:c2:6b,*,0x0806,*,*,*,*,*,*,1000,*,*,7752,179
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,0x0800,*,*,52.89.243.70,6,*,8080,855,*,*,952013,15725
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,*,800,*,*,0,0
68:c6:3a:ba:c2:6b,8a:60:8a:92:83:f6,0x0800,*,*,*,6,*,*,800,*,*,58,1
8a:60:8a:92:83:f6,68:c6:3a:ba:c2:6b,0x0800,*,52.89.243.70,*,6,8080,*,750,*,*,797969,11934
8a:60:8a:92:83:f6,68:c6:3a:ba:c2:6b,0x0800,*,*,*,17,*,*,700,*,*,0,0
8a:60:8a:92:83:f6,68:c6:3a:ba:c2:6b,0x0800,*,*,*,6,*,*,700,*,*,0,0
68:c6:3a:ba:c2:6b,*,0x888e,*,*,*,*,*,*,650,*,*,1965,17
*,68:c6:3a:ba:c2:6b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,68:c6:3a:ba:c2:6b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,68:c6:3a:ba:c2:6b,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,68:c6:3a:ba:c2:6b,0x0800,*,*,*,6,*,*,600,*,*,0,0
