srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,dc:4f:22:28:b6:5b,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,2768,8
dc:4f:22:28:b6:5b,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,0,0
dc:4f:22:28:b6:5b,*,0x0800,*,*,224.0.0.1,2,*,*,1300,*,*,138,3
dc:4f:22:28:b6:5b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,2450,7
dc:4f:22:28:b6:5b,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,60,3
22:ef:03:1a:97:b9,dc:4f:22:28:b6:5b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:28:b6:5b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:28:b6:5b,0x0800,*,*,*,1,*,*,1000,*,*,248,4
dc:4f:22:28:b6:5b,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
dc:4f:22:28:b6:5b,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
dc:4f:22:28:b6:5b,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:28:b6:5b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
dc:4f:22:28:b6:5b,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:28:b6:5b,*,*,*,*,17,53,*,1000,*,*,0,0
dc:4f:22:28:b6:5b,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,0,0
*,dc:4f:22:28:b6:5b,0x0806,*,*,*,*,*,*,1000,*,*,756,18
dc:4f:22:28:b6:5b,*,0x0806,*,*,*,*,*,*,1000,*,*,1260,30
dc:4f:22:28:b6:5b,22:ef:03:1a:97:b9,0x0800,*,*,52.89.243.70,6,*,8080,855,*,*,3423,47
dc:4f:22:28:b6:5b,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
dc:4f:22:28:b6:5b,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,58,1
22:ef:03:1a:97:b9,dc:4f:22:28:b6:5b,0x0800,*,52.89.243.70,*,6,8080,*,750,*,*,2392,44
22:ef:03:1a:97:b9,dc:4f:22:28:b6:5b,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,dc:4f:22:28:b6:5b,0x0800,*,*,*,6,*,*,700,*,*,0,0
dc:4f:22:28:b6:5b,*,0x888e,*,*,*,*,*,*,650,*,*,1105,9
*,dc:4f:22:28:b6:5b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,dc:4f:22:28:b6:5b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,dc:4f:22:28:b6:5b,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,dc:4f:22:28:b6:5b,0x0800,*,*,*,6,*,*,600,*,*,0,0
