srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,ec:b5:fa:00:98:da,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,20237,59
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,17784,52
ec:b5:fa:00:98:da,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1710,5
ec:b5:fa:00:98:da,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,24540,409
ec:b5:fa:00:98:da,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,417690,1170
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,0,0
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,time4.google.com,17,*,123,1001,*,*,2340,26
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,time1.google.com,17,*,123,1001,*,*,2520,28
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,time2.google.com,17,*,123,1001,*,*,2430,27
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,time3.google.com,17,*,123,1001,*,*,2520,28
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,1079,13
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,19492,245
8a:60:8a:92:83:f6,ec:b5:fa:00:98:da,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,ec:b5:fa:00:98:da,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,ec:b5:fa:00:98:da,0x0800,*,*,*,1,*,*,1000,*,*,62,1
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,ec:b5:fa:00:98:da,0x0800,*,*,*,17,123,*,1000,*,*,10170,113
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,360,4
8a:60:8a:92:83:f6,ec:b5:fa:00:98:da,*,*,*,*,17,53,*,1000,*,*,77485,260
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,159,2
*,ec:b5:fa:00:98:da,0x0806,*,*,*,*,*,*,1000,*,*,24228,405
ec:b5:fa:00:98:da,*,0x0806,*,*,*,*,*,*,1000,*,*,24060,401
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www2.meethue.com,6,*,443,855,*,*,180,3
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,ws.meethue.com,6,*,443,855,*,*,9963,80
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.ecdinterface.philips.com,6,*,80,855,*,*,8078,26
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.ecdinterface.philips.com,6,*,80,855,*,*,11194,35
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,time.meethue.com,6,*,443,855,*,*,3504,37
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www2.meethue.com,6,*,443,855,*,*,672,11
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www2.meethue.com,6,*,443,855,*,*,180,3
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.qq.com,6,*,443,855,*,*,330,5
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.facebook.com,6,*,443,855,*,*,132,2
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.google.com,6,*,443,855,*,*,264,4
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www2.meethue.com,6,*,443,855,*,*,132,2
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www2.meethue.com,6,*,443,855,*,*,378,6
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.qq.com,6,*,443,855,*,*,132,2
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.baidu.com,6,*,443,855,*,*,528,8
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.baidu.com,6,*,443,855,*,*,462,7
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.facebook.com,6,*,443,855,*,*,264,4
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www.google.com,6,*,443,855,*,*,132,2
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www2.meethue.com,6,*,443,855,*,*,330,5
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,diagnostics.meethue.com,6,*,80,855,*,*,41986,204
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www2.meethue.com,6,*,443,855,*,*,180,3
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,www2.meethue.com,6,*,443,855,*,*,180,3
ec:b5:fa:00:98:da,8a:60:8a:92:83:f6,0x0800,*,*,dcp.dc1.philips.com,6,*,80,855,*,*,234417,288
