srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,00:17:88:68:5f:61,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,19376,56
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,17442,51
00:17:88:68:5f:61,*,0x86dd,*,*,ff02:0:0:0:0:0:0:fb,17,*,5353,1300,*,*,41301,95
00:17:88:68:5f:61,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,44384,107
00:17:88:68:5f:61,*,0x86dd,*,*,ff02:0:0:0:0:1:ff00:1,58,*,*,1300,*,*,468,6
00:17:88:68:5f:61,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,7866,23
00:17:88:68:5f:61,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,1400,20
00:17:88:68:5f:61,*,0x86dd,*,*,ff02:0:0:0:0:1:ff68:5f61,58,*,*,1300,*,*,468,6
00:17:88:68:5f:61,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,8010,89
00:17:88:68:5f:61,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,38880,648
00:17:88:68:5f:61,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,1012837,2837
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,2048,26
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x0800,*,*,time4.google.com,17,*,123,1001,*,*,2520,28
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x0800,*,*,time2.google.com,17,*,123,1001,*,*,2520,28
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x0800,*,*,time3.google.com,17,*,123,1001,*,*,2700,30
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x0800,*,*,time1.google.com,17,*,123,1001,*,*,2610,29
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,19779,248
22:ef:03:1a:97:b9,00:17:88:68:5f:61,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,00:17:88:68:5f:61,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,00:17:88:68:5f:61,0x0800,*,*,*,1,*,*,1000,*,*,62,1
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,00:17:88:68:5f:61,0x0800,*,*,*,17,123,*,1000,*,*,10710,119
00:17:88:68:5f:61,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,360,4
