srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www.ecdinterface.philips.com,6,*,80,855,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,0,*,*,1300,*,*
<deviceMac>,*,0x0800,*,224.0.0.22,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,www2.meethue.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time2.google.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time4.google.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.70,17,*,53,1001,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,17,*,5353,1300,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,17,*,5353,1300,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,58,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.meethue.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,diagnostics.meethue.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ws.meethue.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time3.google.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time1.google.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dcp.dc1.philips.com,6,*,80,855,*,*
<gatewayMac>,<deviceMac>,0x0800,dcp.dc1.philips.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,time4.google.com,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,ws.meethue.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,time2.google.com,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,diagnostics.meethue.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.70,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,www.ecdinterface.philips.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,www2.meethue.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,time1.google.com,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,time3.google.com,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,time.meethue.com,*,6,443,*,750,*,*
<deviceMac>,*,0x0800,*,*,6,443,*,650,*,*
<deviceMac>,*,0x0800,*,*,6,80,*,650,*,*
*,<deviceMac>,0x0800,*,*,6,*,80,655,*,*
*,<deviceMac>,0x0800,*,*,6,*,443,655,*,*
