srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,58:ef:68:99:7d:ed,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,15435,45
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,10944,32
58:ef:68:99:7d:ed,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,12144,229
58:ef:68:99:7d:ed,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,71251,163
58:ef:68:99:7d:ed,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,630,11
58:ef:68:99:7d:ed,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,16074,47
58:ef:68:99:7d:ed,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,25260,631
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,288,4
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.5.41.41,17,*,123,1001,*,*,90,1
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,4.2.2.2,1,*,*,1001,8,0,882,9
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,9407,129
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,130.149.17.8,17,*,123,1001,*,*,1260,14
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,129.132.2.21,17,*,123,1001,*,*,180,2
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,3,0,252,2
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,8,0,1078,11
8a:60:8a:92:83:f6,58:ef:68:99:7d:ed,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,58:ef:68:99:7d:ed,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,58:ef:68:99:7d:ed,0x0800,*,*,*,1,*,*,1000,*,*,2486,25
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,322,3
8a:60:8a:92:83:f6,58:ef:68:99:7d:ed,0x0800,*,*,*,17,123,*,1000,*,*,1440,16
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,270,3
8a:60:8a:92:83:f6,58:ef:68:99:7d:ed,*,*,*,*,17,53,*,1000,*,*,58509,135
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,151,2
*,58:ef:68:99:7d:ed,0x0806,*,*,*,*,*,*,1000,*,*,18048,302
58:ef:68:99:7d:ed,*,0x0806,*,*,*,*,*,*,1000,*,*,18102,398
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,3.92.79.197,6,*,3478,855,*,*,6392,46
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,54.172.143.227,6,*,3478,855,*,*,2296,14
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,111438,95
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,34.207.172.69,6,*,3478,855,*,*,13160,96
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,18.234.133.64,6,*,3478,855,*,*,420,4
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,34.227.207.54,6,*,3478,855,*,*,23370,173
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,389278,324
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,389244,322
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,222618,185
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,18.212.155.23,6,*,3478,855,*,*,107394,823
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,664240,517
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,778375,641
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,721757,583
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,54.224.139.157,6,*,3478,855,*,*,134020,980
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,111475,95
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,221665,176
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,664294,518
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,445535,376
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,332987,270
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,625640,515
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,389443,325
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,277450,222
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,776842,624
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,610651,493
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,54.173.197.99,6,*,3478,855,*,*,163616,1192
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,613730,498
58:ef:68:99:7d:ed,8a:60:8a:92:83:f6,0x0800,*,*,3.87.98.35,6,*,3478,855,*,*,12424,96
