srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,10726,31
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,6840,20
14:91:82:b4:4b:5f,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,1150,25
14:91:82:b4:4b:5f,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,38490,89
14:91:82:b4:4b:5f,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,216,4
14:91:82:b4:4b:5f,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,3420,10
14:91:82:b4:4b:5f,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,100,5
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,1372,19
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,4.2.2.2,1,*,*,1001,8,0,392,4
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.5.41.41,17,*,123,1001,*,*,1530,17
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,132.163.4.102,17,*,123,1001,*,*,180,2
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,2079,27
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.43.244.18,17,*,123,1001,*,*,180,2
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,3,0,126,1
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,8,0,980,10
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,*,*,1,*,*,1000,*,*,1754,19
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,322,3
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,*,*,17,123,*,1000,*,*,630,7
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,270,3
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,*,*,*,*,17,53,*,1000,*,*,9263,48
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,151,2
*,14:91:82:b4:4b:5f,0x0806,*,*,*,*,*,*,1000,*,*,12954,308
14:91:82:b4:4b:5f,*,0x0806,*,*,*,*,*,*,1000,*,*,13044,308
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,1060243,951
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,3.84.174.218,6,*,3478,855,*,*,403522,2877
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,112955,104
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,225060,200
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,1574784,1376
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,451128,404
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,168648,145
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,168913,149
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,226424,198
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,112606,98
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,225821,192
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,4504194,3937
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,450095,400
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,3370277,3022
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,225222,203
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,54.172.178.181,6,*,3478,855,*,*,94578,625
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,736433,659
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,nat.xbcs.net,6,*,3475,855,*,*,619,5
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,insight.lswf.net,6,*,443,855,*,*,232459,242
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,20568,31
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,54.226.95.22,6,*,3478,855,*,*,540,6
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,insight.lswf.net,6,*,443,855,*,*,179842,202
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,nat.xbcs.net,6,*,3475,855,*,*,619,5
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,time.stdtime.gov.tw,6,*,37,855,*,*,1716,26
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,49258,124
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,56110,735
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,3.84.174.218,*,6,3478,*,750,*,*,311866,2557
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,9079,56
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,14047,133
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,74825,1024
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,27701,251
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,11062,85
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,12060,89
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,14799,132
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,9981,58
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,8461,122
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,207325,2655
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,27098,246
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,163842,2205
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,13699,125
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,54.172.178.181,*,6,3478,*,750,*,*,62354,555
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,48998,409
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,nat.xbcs.net,*,6,3475,*,750,*,*,238,4
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,insight.lswf.net,*,6,443,*,750,*,*,29078,167
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,api.xbcs.net,*,6,8443,*,750,*,*,8323,26
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,54.226.95.22,*,6,3478,*,750,*,*,846,9
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,insight.lswf.net,*,6,443,*,750,*,*,18670,115
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,nat.xbcs.net,*,6,3475,*,750,*,*,240,4
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,time.stdtime.gov.tw,*,6,37,*,750,*,*,0,0
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,*,*,17,*,*,700,*,*,0,0
