srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,api.xbcs.net,6,*,8443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.5.41.41,17,*,123,1001,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,*,6,*,3478,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.stdtime.gov.tw,6,*,37,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.70,17,*,53,1001,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,insight.lswf.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,nat.xbcs.net,6,*,3475,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,1,*,*,1001,8,0
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,insight.lswf.net,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.70,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,time.stdtime.gov.tw,*,6,37,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.5.41.41,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,*,*,6,3478,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,nat.xbcs.net,*,6,3475,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api.xbcs.net,*,6,8443,*,750,*,*
<deviceMac>,*,0x0800,*,*,17,3076,*,610,*,*
*,<deviceMac>,0x0800,*,*,6,*,49153,655,*,*
<deviceMac>,*,0x0800,*,*,6,49153,*,650,*,*
<deviceMac>,*,0x0800,*,*,17,3075,*,610,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
*,<deviceMac>,0x0800,*,*,17,*,3076,610,*,*
<deviceMac>,*,0x0800,*,*,17,9,*,610,*,*
*,<deviceMac>,0x0800,*,*,17,*,9,610,*,*
*,<deviceMac>,0x0800,*,*,17,*,3075,610,*,*
