srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
8a:60:8a:92:83:f6,50:c7:bf:ca:3f:9d,0x0800,*,192.168.20.254,*,17,67,*,1400,*,*,17100,50
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,17,*,67,1400,*,*,22420,38
50:c7:bf:ca:3f:9d,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,16434,35
50:c7:bf:ca:3f:9d,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,1240,30
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,0,0
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,2118,26
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,18787,231
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,192.168.20.254,1,*,*,1001,0,0,62,1
8a:60:8a:92:83:f6,50:c7:bf:ca:3f:9d,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,50:c7:bf:ca:3f:9d,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
8a:60:8a:92:83:f6,50:c7:bf:ca:3f:9d,0x0800,*,*,*,1,*,*,1000,*,*,372,6
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,*,1,*,*,1000,*,*,62,1
8a:60:8a:92:83:f6,50:c7:bf:ca:3f:9d,0x0800,*,*,*,17,123,*,1000,*,*,900,10
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,*,17,*,123,1000,*,*,810,9
8a:60:8a:92:83:f6,50:c7:bf:ca:3f:9d,*,*,*,*,17,53,*,1000,*,*,99408,259
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,*,*,*,*,17,*,53,1000,*,*,144,2
*,50:c7:bf:ca:3f:9d,0x0806,*,*,*,*,*,*,1000,*,*,15720,262
50:c7:bf:ca:3f:9d,*,0x0806,*,*,*,*,*,*,1000,*,*,11724,274
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,13894,129
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,15938,129
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,13786,127
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,31772,256
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,20708,191
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,20654,190
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,23990,195
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,23774,191
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com|euw1-events.tplinkra.com,6,*,443,855,*,*,20126,165
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,24044,196
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,32096,262
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,13894,129
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,6864,63
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,38392,358
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,68114,555
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,77110,722
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,3914,31
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,3456,32
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,7940,64
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,15830,127
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,15938,129
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,45422,424
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,30943,287
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,72788,600
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,63980,520
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,48936,457
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,7940,64
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,20924,195
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-api.tplinkra.com,6,*,443,855,*,*,27854,225
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,euw1-events.tplinkra.com,6,*,443,855,*,*,31702,296
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,13646,125
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,3341,30
50:c7:bf:ca:3f:9d,8a:60:8a:92:83:f6,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,25677,236
