srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,18810,55
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,28910,49
50:c7:bf:a0:f3:76,*,0x86dd,*,*,ff02:0:0:0:0:1:ff27:9fe5,58,*,*,1300,*,*,61920,720
50:c7:bf:a0:f3:76,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,496,8
50:c7:bf:a0:f3:76,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,2454,5
50:c7:bf:a0:f3:76,*,0x86dd,*,*,ff02:0:0:0:0:1:ffa0:f376,58,*,*,1300,*,*,390,5
50:c7:bf:a0:f3:76,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,216.229.0.50,17,*,123,1001,*,*,810,9
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,0,0
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,0,0,0,0
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,17871,221
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,*,*,1,*,*,1000,*,*,186,3
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,62,1
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,*,*,17,123,*,1000,*,*,1170,13
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,360,4
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,*,*,*,*,17,53,*,1000,*,*,45720,222
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,72,1
*,50:c7:bf:a0:f3:76,0x0806,*,*,*,*,*,*,1000,*,*,15708,374
50:c7:bf:a0:f3:76,*,0x0806,*,*,*,*,*,*,1000,*,*,15708,374
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,100382,945
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,116287,1095
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,126261,1183
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,105720,995
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,88297,830
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,91462,859
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,93602,883
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,82871,777
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,devs.tplinkcloud.com,6,*,443,855,*,*,2194,17
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,deventry.tplinkcloud.com,6,*,443,855,*,*,1443,11
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,95369,896
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,devs.tplinkcloud.com,6,*,443,855,*,*,2194,17
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,deventry.tplinkcloud.com,6,*,443,855,*,*,1443,11
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,136577,1287
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,devs.tplinkcloud.com,6,*,443,855,*,*,2248,18
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,deventry.tplinkcloud.com,6,*,443,855,*,*,1443,11
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,*,800,*,*,0,0
50:c7:bf:a0:f3:76,22:ef:03:1a:97:b9,0x0800,*,*,*,6,*,*,800,*,*,34456,500
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,450164,634
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,520284,732
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,568401,796
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,475382,668
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,400139,561
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,411996,575
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,417775,590
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,370713,518
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,devs.tplinkcloud.com,*,6,443,*,750,*,*,5628,13
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,deventry.tplinkcloud.com,*,6,443,*,750,*,*,5068,10
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,426174,599
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,devs.tplinkcloud.com,*,6,443,*,750,*,*,6393,22
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,deventry.tplinkcloud.com,*,6,443,*,750,*,*,5068,10
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,607618,864
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,devs.tplinkcloud.com,*,6,443,*,750,*,*,6362,22
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,deventry.tplinkcloud.com,*,6,443,*,750,*,*,5068,10
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,*,*,17,*,*,700,*,*,0,0
22:ef:03:1a:97:b9,50:c7:bf:a0:f3:76,0x0800,*,*,*,6,*,*,700,*,*,131033,505
*,50:c7:bf:a0:f3:76,0x0800,*,*,*,6,*,9999,655,*,*,186609,2348
50:c7:bf:a0:f3:76,*,0x0800,*,*,*,6,9999,*,650,*,*,294584,3138
